Vg_V,P_uC_cm2,E_MV_cm,E_over_Fc
-3.5,-1.5262,-0.71476,-0.510543
-3.525,-1.55311,-0.717677,-0.512627
-3.55,-1.58003,-0.720593,-0.51471
-3.575,-1.60697,-0.723508,-0.516792
-3.6,-1.63391,-0.726422,-0.518873
-3.625,-1.66087,-0.729335,-0.520953
-3.65,-1.68785,-0.732246,-0.523033
-3.675,-1.71483,-0.735157,-0.525112
-3.7,-1.74182,-0.738067,-0.527191
-3.725,-1.76883,-0.740976,-0.529268
-3.75,-1.79584,-0.743884,-0.531346
-3.775,-1.82287,-0.746791,-0.533422
-3.8,-1.8499,-0.749698,-0.535499
-3.825,-1.87694,-0.752605,-0.537575
-3.85,-1.904,-0.75551,-0.53965
-3.875,-1.93106,-0.758415,-0.541725
-3.9,-1.95813,-0.76132,-0.5438
-3.925,-1.9852,-0.764224,-0.545874
-3.95,-2.01228,-0.767128,-0.547949
-3.975,-2.03938,-0.770032,-0.550023
-4,-2.06647,-0.772935,-0.552097
