Vg_V,P_uC_cm2,E_MV_cm
0.17500000000001,-1.1610736028900102,0.38891681948768797
0.15000000000001,-1.14368732570146,0.3914308740542
0.12500000000001,-1.12780040515587,0.39372040180207496
0.10000000000001,-1.1139633575360601,0.395708548348462
0.0750000000000099,-1.10283495025942,0.39730347264907
0.05000000000001,-1.0949253546290199,0.398434834698718
0.0250000000000101,-1.09013418178594,0.399119161606852
1.02140518265514e-14,-1.08763795552672,0.399475322165541
-0.0249999999999897,-1.08643941023787,0.39964616508714695
-0.0499999999999901,-1.08585142658481,0.399729878478665
-0.0749999999999904,-1.08552421420275,0.39977639567638396
-0.0999999999999908,-1.0853043176467,0.399807611061143
-0.124999999999991,-1.08512853583641,0.39983253866770196
-0.149999999999991,-1.08497136605209,0.399854814655827
-0.174999999999992,-1.08482249366917,0.399875909154367
-0.199999999999992,-1.08467766537947,0.39989642810578097
-0.224999999999993,-1.08453505831669,0.399916631044029
-0.249999999999993,-1.0843938400650401,0.39993663639129595
-0.274999999999993,-1.08425359400308,0.39995650336182
-0.299999999999994,-1.0841140863234,0.399976265155976
-0.324999999999994,-1.0839751682185301,0.399995942890445
-0.349999999999994,-1.0838367305921601,0.40001555204555894
-0.374999999999995,-1.08369867538321,0.400035106548996
-0.399999999999995,-1.08356088102938,0.40005462370059997
-0.424999999999995,-1.0834231320052699,0.40007413422925503
-0.449999999999996,-1.08328494578544,0.400093706997373
-0.474999999999996,-1.0831451289487,0.40011351238078596
-0.499999999999996,-1.0830006293898,0.40013398615296497
-0.524999999999997,-1.08284357923367,0.400156251699139
-0.549999999999997,-1.0826537933468199,0.400183191033888
-0.574999999999998,-1.0823805235975,0.400222049517031
-0.599999999999998,-1.08190275408467,0.400290102198967
-0.624999999999998,-1.08096574738772,0.40042369959366897
-0.649999999999999,-1.07915684731356,0.400681670955552
-0.674999999999999,-1.07606418855327,0.40112256622188197
-0.699999999999999,-1.0715417039838202,0.401766787268753
-0.725,-1.0657312300630701,0.402593558294589
-0.75,-1.05887240239257,0.403568198071949
-0.775,-1.05116704651002,0.40466149923246897
-0.800000000000001,-1.0427444377326,0.405854645052784
-0.825000000000001,-1.03366834488567,0.407138153928645
-0.850000000000001,-1.0239513189470901,0.408509796350948
-0.875000000000002,-1.01356761915225,0.40997271380126693
-0.900000000000002,-1.00246528932404,0.41153366894093596
-0.925000000000002,-0.990579285954967,0.41320116247546895
