Vg_V,P_uC_cm2,E_MV_cm
0.324999999999994,-0.0869133509007193,0.0573276546773539
0.349999999999994,-0.08836729444922259,0.0570995283012321
0.374999999999995,-0.09134588388017979,0.056632326459477994
0.399999999999995,-0.0968306651676803,0.055773081194573
0.424999999999995,-0.10544536861574799,0.05442667785751319
0.449999999999996,-0.117081582907578,0.0526144065019628
0.474999999999996,-0.131179461759131,0.0504285899052824
0.499999999999996,-0.147138565414394,0.04796713223313939
0.524999999999997,-0.164486113808074,0.045306941720116
0.549999999999997,-0.18288512660735098,0.042502837625543896
0.574999999999998,-0.202100496668113,0.0395930944605033
0.599999999999998,-0.22196660996255901,0.0366046910367335
0.624999999999998,-0.24236429736807502,0.0335570415328765
0.649999999999999,-0.263205654162899,0.030464453616929198
0.674999999999999,-0.284424216619501,0.027337721064385
0.699999999999999,-0.305968594690751,0.0241851585570128
0.725,-0.327798311443798,0.0210132807518175
0.75,-0.349881041159797,0.017827255965274298
0.775,-0.37219071637412304,0.014631219333803399
0.800000000000001,-0.394706164128044,0.011428499448898899
0.825000000000001,-0.417410070640733,0.00822179033352514
0.850000000000001,-0.440288167993862,0.00501328590475896
0.875000000000002,-0.463328589015683,0.0018047859604483798
0.900000000000002,-0.486521358939559,-0.00140222076753347
0.925000000000002,-0.509857999532753,-0.0046064921718002895
0.950000000000003,-0.533331223812228,-0.00780698314507619
0.975000000000003,-0.55693470167716,-0.0110028074582984
1.0,-0.580662879978589,-0.0141932084174521
1.025,-0.604510843501088,-0.0173775361049339
1.05,-0.6284742067612089,-0.020555229575597
1.075,-0.652549028856904,-0.023725802766028998
1.1,-0.676731745695669,-0.0268888332116305
1.12500000000001,-0.701019115423974,-0.030043952905558797
1.15000000000001,-0.725408173987735,-0.0331908408096673
1.17500000000001,-0.749896198555802,-0.0363292166547803
1.20000000000001,-0.774480677118205,-0.039458835759396
1.22500000000001,-0.799159282989259,-0.042579484662197
1.25000000000001,-0.8239298532511851,-0.045690977412176495
1.27500000000001,-0.84879037039565,-0.048793152395508896
1.30000000000001,-0.8737389465866371,-0.0518858696047489
1.32500000000001,-0.898773810090724,-0.054969008275633995
1.35000000000001,-0.9238932935141649,-0.0580424648317894
1.37500000000001,-0.9490958235571719,-0.0611061510891306
1.40000000000001,-0.974379912050831,-0.0641599926807144
1.42500000000001,-0.9997441480848089,-0.0672039276697817
1.45000000000001,-1.02518719106789,-0.0702379053243136
1.47500000000001,-1.0507077645902,-0.073261885030848
1.50000000000001,-1.07630465097765,-0.07627583532890479
1.52500000000001,-1.1019766864464,-0.07927973305028119
1.55000000000001,-1.12772275677978,-0.0822735625498624
1.57500000000001,-1.1535417934613499,-0.0852573150165853
1.60000000000001,-1.17943277020786,-0.0882309878548034
1.62500000000001,-1.2053946998537,-0.0911945841276953
1.65000000000001,-1.2314266315453302,-0.09414811205549219
1.67500000000001,-1.25752764820965,-0.0970915845622718
1.70000000000001,-1.2836968642653301,-0.100025018865886
1.72500000000001,-1.30993342354992,-0.10294843610629299
1.75000000000001,-1.33623649743924,-0.10586186100816
1.77500000000001,-1.36260528313834,-0.10876532157410199
1.80000000000001,-1.38903900212601,-0.11165884880538299
1.82500000000002,-1.4155368987369101,-0.11454247644727499
1.85000000000002,-1.44209823886737,-0.117416240756586
1.87500000000002,-1.46872230879241,-0.120280180289187
1.90000000000002,-1.49540841408322,-0.123134335705582
1.92500000000002,-1.5221558786151501,-0.12597874959279598
1.95000000000002,-1.54896404365793,-0.128813466301063
1.97500000000002,-1.57583226704021,-0.131638531793915
2.00000000000002,-1.60275992238175,-0.13445399351048398
2.02500000000002,-1.62974639838713,-0.1372599002389
2.05000000000002,-1.6567909840722501,-0.140056290232102
2.07500000000002,-1.68389284359566,-0.142843188903698
2.10000000000002,-1.71105138508383,-0.145620646782054
2.12500000000002,-1.73826603644499,-0.148388716076763
2.15000000000002,-1.76553623662257,-0.151147449739412
2.17500000000002,-1.79286143512608,-0.153896901385383
2.20000000000002,-1.8202410915943399,-0.15663712522155898
2.22500000000002,-1.8476746753885098,-0.15936817597943298
2.25000000000002,-1.87516166521219,-0.16209010885319697
2.27500000000002,-1.90270154875628,-0.164802979442378
2.30000000000002,-1.9302938223668502,-0.167506843698659
2.32500000000002,-1.95793799073374,-0.170201757876574
2.35000000000002,-1.9856335665984899,-0.17288777848773398
2.37500000000002,-2.01338007048006,-0.17556496225834997
2.40000000000002,-2.04117703041675,-0.178233366089772
2.42500000000002,-2.06902398172336,-0.180893047021834
