Vg_V,Id_A_um
-1.16000000000629,2.034405123987011e-07
-1.14000000000635,2.0286424608689666e-07
-1.1200000000064,2.022675820997489e-07
-1.10000000000645,2.0164919779110223e-07
-1.08000000000651,2.0100763136026226e-07
-1.06000000000656,2.0034128134214445e-07
-1.04000000000661,1.9964837196858113e-07
-1.02000000000667,1.9892692430283223e-07
-1.00000000000672,1.9817457711784114e-07
-0.980000000006776,1.9738904057380668e-07
-0.96000000000683,1.9656752125589223e-07
-0.940000000006883,1.9570655814093e-07
-0.920000000006937,1.948027363900167e-07
-0.900000000006991,1.9385159871773668e-07
-0.880000000007045,1.9284849173778334e-07
-0.860000000007099,1.9178788918377443e-07
-0.840000000007152,1.9066299662398331e-07
-0.820000000007206,1.8946582246166e-07
-0.80000000000726,1.8818686818040448e-07
-0.780000000007314,1.868148316030478e-07
-0.760000000007368,1.8533633064829892e-07
-0.740000000007421,1.837357030201322e-07
-0.720000000007475,1.819949056543111e-07
-0.700000000007529,1.8009339192667446e-07
-0.680000000007583,1.780075378380122e-07
-0.660000000007636,1.7570878580233556e-07
-0.64000000000769,1.7315938622458998e-07
-0.620000000007744,1.7030467423614778e-07
-0.600000000007798,1.6706115282174336e-07
-0.580000000007852,1.633000716648078e-07
-0.560000000007905,1.5882708741516112e-07
-0.540000000007959,1.5336145984656e-07
-0.520000000008013,1.465253389415089e-07
-0.500000000008066,1.378662518856889e-07
-0.48000000000812,1.2694827342082888e-07
-0.460000000008174,1.1353799584897445e-07
-0.440000000008228,9.7848579266884e-08
-0.420000000008282,8.069893341354978e-08
-0.400000000008335,6.341489172867444e-08
-0.380000000008389,4.743583351779189e-08
-0.360000000008443,3.385232981280611e-08
-0.340000000008497,2.3147240844807665e-08
-0.320000000008551,1.5235102219870447e-08
-0.300000000008604,9.682503935998522e-09
-0.280000000008658,5.9408974799536e-09
-0.260000000008712,3.4987511183184776e-09
-0.240000000008766,1.945680084848633e-09
-0.220000000008819,9.800804630184046e-10
-0.200000000008873,3.9243801655915784e-10
-0.180000000008927,4.3398765394163115e-11
-0.160000000008981,1.5551437362547112e-10
-0.140000000009035,2.562809934953345e-10
-0.120000000009088,2.8353990758468115e-10
-0.100000000009142,2.3889151864678224e-10
-0.0800000000091958,1.0179887252341256e-10
-0.0600000000092495,1.6900702188661336e-10
-0.0400000000093033,6.279250543653367e-10
-0.0200000000093574,1.3274814370066667e-09
-9.41113853514253e-12,2.306676421644967e-09
0.0199999999905351,3.594886702385189e-09
0.0399999999904814,5.228999138298422e-09
0.0599999999904277,7.272483345640745e-09
0.079999999990374,9.831413135006345e-09
0.0999999999903203,1.3071250772109444e-08
0.119999999990266,1.7243417980608e-08
0.139999999990212,2.2730830818623448e-08
0.159999999990159,3.0135030029946116e-08
0.179999999990105,4.0438851598900003e-08
0.199999999990051,5.528495989685067e-08
0.219999999989998,7.756498263563734e-08
0.239999999989944,1.1239315791106334e-07
0.25999999998989,1.6872695725106e-07
0.279999999989836,2.611446572175656e-07
0.299999999989782,4.1026478436110117e-07
0.319999999989729,6.410619053127234e-07
0.339999999989675,9.814017311689145e-07
0.359999999989621,1.4641754933255667e-06
0.379999999989567,2.132025997592278e-06
0.399999999989514,3.0432358652707e-06
0.419999999989459,4.2782393531171005e-06
0.439999999989406,5.943630470888222e-06
0.459999999989352,8.171011833887557e-06
0.479999999989298,1.111047372880019e-05
0.499999999989245,1.4917446039215e-05
0.51999999998919,1.973773535385689e-05
0.539999999989137,2.5694953112583447e-05
0.559999999989083,3.287702808139045e-05
0.579999999989029,4.135047820560489e-05
0.599999999988976,5.1141552336241337e-05
0.619999999988922,6.223862472223111e-05
0.639999999988868,7.459683715312322e-05
0.659999999988814,8.812014129476489e-05
0.679999999988761,0.00010266381181374156
0.699999999988707,0.00011804049212050888
0.719999999988653,0.00013403529960883333
0.7399999999886,0.00015042995322012113
0.759999999988546,0.00016699790112152554
0.779999999988492,0.0001835693641532922
0.799999999988438,0.00020000467673752113
0.819999999988384,0.0002162032603217678
0.83999999998833,0.00023211109340483556
0.859999999988276,0.0002477135909985689
0.879999999988223,0.0002630283574683067
0.899999999988169,0.00027810401631035334
0.919999999988115,0.00029301471783533113
0.939999999988061,0.00030784202363368226
0.959999999988008,0.0003225311040875767
0.979999999987954,0.00033691289538779334
0.9999999999879,0.0003508930867962178
1.01999999998785,0.00036418834105975665
1.03999999998779,0.00037692175564483333
1.05999999998774,0.00038919354629944776
1.07999999998768,0.00040092061978977
1.09999999998763,0.00041212637570813774
1.11999999998758,0.00042283920430737006
1.13999999998752,0.00043312030106766337
1.15999999998747,0.00044299493821658666
1.17999999998742,0.00045247936689204
1.19999999998736,0.00046162586773281
