V_G_V,I_D
2.907625127412731825e-01,4.050742049451380882e-06
3.112847180778386402e-01,4.067398808614182031e-06
3.318069234144040980e-01,4.084124060814165557e-06
3.523291287509695557e-01,4.100918087696531345e-06
3.728513340875352355e-01,4.117781172064588466e-06
3.933735394241006933e-01,4.134713597884565476e-06
4.138957447606661511e-01,4.151715650290367353e-06
4.344179500972318309e-01,4.168787615588351917e-06
4.549401554337972886e-01,4.185929781262201115e-06
4.754623607703627464e-01,4.203142435977738946e-06
4.959845661069284262e-01,4.220248909995927066e-06
5.165067714434938839e-01,4.236389345136867394e-06
5.370289767800593417e-01,4.251552141970604904e-06
5.575511821166250215e-01,4.265726376269914300e-06
5.780733874531904792e-01,4.278901812125154229e-06
5.985955927897559370e-01,4.291068914261814477e-06
6.191177981263216168e-01,4.302218859540219810e-06
6.396400034628870745e-01,4.312343547617820627e-06
6.601622087994525323e-01,4.321435610756167527e-06
6.806844141360182121e-01,4.329669962878242206e-06
7.012066194725836699e-01,4.337920005284976658e-06
7.217288248091491276e-01,4.346185767873678625e-06
7.422510301457145854e-01,4.354467280598650152e-06
7.627732354822802652e-01,4.362764573471244342e-06
7.832954408188457229e-01,4.371077676560010198e-06
8.038176461554111807e-01,4.393294758826974124e-06
8.243398514919768605e-01,4.414690883621654759e-06
8.448620568285423182e-01,4.435252980362712026e-06
8.653842621651077760e-01,4.454968446632685975e-06
8.859064675016732338e-01,4.473825161043975782e-06
9.064286728382389136e-01,4.491811495653641570e-06
9.269508781748045934e-01,4.508916327909154107e-06
9.474730835113698291e-01,4.525129052107924727e-06
9.679952888479355089e-01,4.540439590354138983e-06
9.885174941845011887e-01,4.540439590354138983e-06
1.009039699521066424e+00,4.540439590354138983e-06
1.029561904857632104e+00,4.540439590354138983e-06
1.050084110194197784e+00,4.540439590354138983e-06
1.070606315530763020e+00,4.540439590354138983e-06
1.091128520867328699e+00,4.540439590354138983e-06
1.111650726203894379e+00,4.540439590354138983e-06
1.132172931540459615e+00,4.540439590354138983e-06
1.152695136877025295e+00,4.540439590354138983e-06
1.173217342213590975e+00,4.540439590354138983e-06
1.193739547550156210e+00,4.540439590354138983e-06
1.214261752886721890e+00,4.540439590354138983e-06
1.234783958223287126e+00,4.540439590354138983e-06
1.255306163559852806e+00,4.540439590354138983e-06
1.275828368896418485e+00,4.540439590354138983e-06
1.296350574232983721e+00,4.540439590354138983e-06
1.316872779569549401e+00,4.540439590354138983e-06
