V_G_V,E_MVcm,P_uCcm2
-3.849999999999980105e+00,1.020440384420549851e+00,7.327742298892609973e-01
-3.899999999999979927e+00,1.029515021357589877e+00,7.718053682601129228e-01
-3.949999999999980194e+00,1.038581621856309978e+00,8.109023457345789776e-01
-4.000000000000000000e+00,1.047640676359610001e+00,8.500620048410360008e-01
-4.000000000000000000e+00,1.047640678912469925e+00,8.500620158892530087e-01
-3.950000000000000178e+00,1.031733023415869921e+00,8.418902503183940400e-01
-3.899999999999999911e+00,1.015875394106650065e+00,8.335118637009959475e-01
-3.850000000000000089e+00,1.000068729060969996e+00,8.249232331487630354e-01
-3.799999999999999822e+00,9.843139707443199216e-01,8.161207514877419911e-01
-3.750000000000000000e+00,9.686120655990979600e-01,8.071008317539589694e-01
-3.700000000000000178e+00,9.529639636575218953e-01,7.978599118624819519e-01
-3.649999999999999911e+00,9.373706181577439178e-01,7.883944594366690817e-01
-3.600000000000000089e+00,9.218329852130728863e-01,7.787009768267000309e-01
-3.549999999999999822e+00,9.063520235102289213e-01,7.687760063048209025e-01
-3.500000000000000000e+00,8.909286940696069523e-01,7.586161354593840001e-01
-3.450000000000000178e+00,8.755639600470349615e-01,7.482180027776219600e-01
-3.399999999999999911e+00,8.602587866230649860e-01,7.375783034508840430e-01
-3.350000000000000089e+00,8.450141409729700070e-01,7.266937954048630077e-01
-3.299999999999999822e+00,8.298309922702119534e-01,7.155613055277469936e-01
-3.250000000000000000e+00,8.147103118716789716e-01,7.041777362078669444e-01
-3.200000000000000178e+00,7.996530736203679712e-01,6.925400721529579862e-01
-3.149999999999999911e+00,7.846603422968578823e-01,6.806454582595299341e-01
-3.100000000000000089e+00,7.697332393337390499e-01,6.684911876040320333e-01
-3.049999999999999822e+00,7.548727424021319798e-01,6.560745451112630633e-01
-3.000000000000000000e+00,7.400798336174349012e-01,6.433929280445700449e-01
-2.950000000000000178e+00,7.253555031049270241e-01,6.304438567672210336e-01
-2.899999999999999911e+00,7.107007506307349010e-01,6.172249843646879786e-01
-2.850000000000000089e+00,6.961165877773120014e-01,6.037341071575680340e-01
-2.799999999999999822e+00,6.816040406699779286e-01,5.899691762065230050e-01
-2.750000000000000000e+00,6.671641533483719799e-01,5.759283100053480542e-01
-2.700000000000000178e+00,6.527979916784329983e-01,5.616098083831719823e-01
-2.649999999999999911e+00,6.385066479469350131e-01,5.470121678768730122e-01
-2.600000000000000089e+00,6.242912462514790262e-01,5.321340988368400415e-01
-2.549999999999999822e+00,6.101529488915259369e-01,5.169745446594170568e-01
-2.500000000000000000e+00,5.960929641093120068e-01,5.015327037497570029e-01
-2.450000000000000178e+00,5.821125553470269942e-01,4.858080546959560042e-01
-2.399999999999999911e+00,5.682130524126539628e-01,4.698003854487880493e-01
-2.350000000000000089e+00,5.543958650574130065e-01,4.535098275345849639e-01
-2.299999999999999822e+00,5.406624993682099811e-01,4.369368963383929994e-01
-2.250000000000000000e+00,5.270145777357558847e-01,4.200825390552090366e-01
-2.200000000000000178e+00,5.134538631603819958e-01,4.029481921097580188e-01
-2.149999999999999911e+00,4.999822889652319469e-01,3.855358504569860179e-01
-2.100000000000000089e+00,4.866019952547450123e-01,3.678481518231249692e-01
-2.049999999999999822e+00,4.733153739617649847e-01,3.498884799987430072e-01
-2.000000000000000000e+00,4.601251252006109960e-01,3.316610930051480111e-01
-1.949999999999999956e+00,4.470343288809640048e-01,3.131712844360899917e-01
-1.899999999999999911e+00,4.340465366629899790e-01,2.944255889667350412e-01
-1.850000000000000089e+00,4.211658900929219906e-01,2.754320455232179832e-01
-1.800000000000000044e+00,4.083972721866379607e-01,2.562005353604070446e-01
-1.750000000000000000e+00,3.957465029551549551e-01,2.367432192369459953e-01
-1.699999999999999956e+00,3.832205941351299883e-01,2.170751081732139876e-01
-1.649999999999999911e+00,3.708280845369339440e-01,1.972148161566139868e-01
-1.600000000000000089e+00,3.585794862984829634e-01,1.771855632231629785e-01
-1.550000000000000044e+00,3.464878855059830287e-01,1.570165269935120123e-01
-1.500000000000000000e+00,3.345697569837359775e-01,1.367446792344329809e-01
-1.449999999999999956e+00,3.228460700794199556e-01,1.164172875876050006e-01
-1.399999999999999911e+00,3.113437822238179775e-01,9.609531439732989233e-02
-1.350000000000000089e+00,3.000978381518349947e-01,7.585800035047789158e-02
-1.300000000000000044e+00,2.891537824246679933e-01,5.580891756140800297e-02
-1.250000000000000000e+00,2.785709564140679828e-01,3.608352124375049930e-02
-1.199999999999999956e+00,2.684257820143149953e-01,1.685728049654550142e-02
-1.149999999999999911e+00,2.588134006883869853e-01,-1.649114992516600075e-03
-1.100000000000000089e+00,2.498433022340589837e-01,-1.917663562309670014e-02
-1.050000000000000044e+00,2.416211204788059896e-01,-3.546386118282800204e-02
-1.000000000000000000e+00,2.342111169857800101e-01,-5.032539117938410189e-02
-9.500000000000029532e-01,2.275953647646209721e-01,-6.374207688937059968e-02
-9.000000000000030198e-01,2.216725796717659847e-01,-7.587299606868720681e-02
-8.500000000000029754e-01,2.163121729435079910e-01,-8.695021002469870142e-02
-8.000000000000030420e-01,2.114190050494609840e-01,-9.714386418969769843e-02
-7.500000000000039968e-01,2.069746164760019880e-01,-1.064708095880019939e-01
-7.000000000000039524e-01,2.030749099942179836e-01,-1.147083888778669958e-01
-6.500000000000040190e-01,1.999989873416679886e-01,-1.212412733205699977e-01
-6.000000000000039746e-01,1.981728850371229922e-01,-1.251344327327690020e-01
-5.500000000000040412e-01,1.975054712739220120e-01,-1.265601414874029940e-01
-5.000000000000039968e-01,1.972900523351379942e-01,-1.270207471174749914e-01
-4.500000000000050071e-01,1.971643145929739827e-01,-1.272897459077430016e-01
-4.000000000000050182e-01,1.970523690260440053e-01,-1.275293038504090037e-01
-3.500000000000049738e-01,1.969421373902990047e-01,-1.277652392577089957e-01
-3.000000000000049849e-01,1.968316631004319861e-01,-1.280017361494560080e-01
-2.500000000000049960e-01,1.967203956734790149e-01,-1.282399730727249998e-01
-2.000000000000060063e-01,1.966076788165719846e-01,-1.284813562449310109e-01
-1.500000000000059897e-01,1.964915472067749747e-01,-1.287300961135240118e-01
-1.000000000000060008e-01,1.963629433371589794e-01,-1.290055954570610008e-01
-5.000000000000599798e-02,1.961709906670839887e-01,-1.294168564482499895e-01
-6.217248937900879782e-15,1.956309508396919805e-01,-1.305743320583329925e-01
4.999999999999359818e-02,1.936318083610259755e-01,-1.348671573233299892e-01
9.999999999999339972e-02,1.887000263818389978e-01,-1.455144946131939898e-01
