state,vds_idx,point,Vds_V,Vg_V,Id_uA_um
pgm,0,47,5.000000e-02,8.500000e-01,6.654433e+01
pgm,0,48,5.000000e-02,9.000000e-01,6.729026e+01
pgm,0,49,5.000000e-02,9.500000e-01,6.798634e+01
pgm,0,50,5.000000e-02,1.000000e+00,6.863584e+01
pgm,1,0,5.000000e-01,-1.500000e+00,2.664867e-04
pgm,1,1,5.000000e-01,-1.450000e+00,1.670556e-04
pgm,1,2,5.000000e-01,-1.400000e+00,1.178594e-04
pgm,1,3,5.000000e-01,-1.350000e+00,9.146567e-05
pgm,1,4,5.000000e-01,-1.300000e+00,7.511283e-05
pgm,1,5,5.000000e-01,-1.250000e+00,6.234824e-05
pgm,1,6,5.000000e-01,-1.200000e+00,5.321811e-05
pgm,1,7,5.000000e-01,-1.150000e+00,4.465233e-05
pgm,1,8,5.000000e-01,-1.100000e+00,3.864049e-05
pgm,1,9,5.000000e-01,-1.050000e+00,3.355172e-05
pgm,1,10,5.000000e-01,-1.000000e+00,2.937819e-05
pgm,1,11,5.000000e-01,-9.500000e-01,2.555909e-05
pgm,1,12,5.000000e-01,-9.000000e-01,2.033205e-05
pgm,1,13,5.000000e-01,-8.500000e-01,1.382258e-05
pgm,1,14,5.000000e-01,-8.000000e-01,1.024669e-05
pgm,1,15,5.000000e-01,-7.500000e-01,1.224783e-05
pgm,1,16,5.000000e-01,-7.000000e-01,2.324625e-05
pgm,1,17,5.000000e-01,-6.500000e-01,8.420017e-05
pgm,1,18,5.000000e-01,-6.000000e-01,4.236053e-04
pgm,1,19,5.000000e-01,-5.500000e-01,1.993417e-03
pgm,1,20,5.000000e-01,-5.000000e-01,9.431457e-03
pgm,1,21,5.000000e-01,-4.500000e-01,4.766935e-02
pgm,1,22,5.000000e-01,-4.000000e-01,2.206453e-01
pgm,1,23,5.000000e-01,-3.500000e-01,8.663864e-01
pgm,1,24,5.000000e-01,-3.000000e-01,2.874467e+00
pgm,1,25,5.000000e-01,-2.500000e-01,8.289755e+00
pgm,1,26,5.000000e-01,-2.000000e-01,1.977277e+01
pgm,1,27,5.000000e-01,-1.500000e-01,3.848179e+01
pgm,1,28,5.000000e-01,-1.000000e-01,6.406766e+01
pgm,1,29,5.000000e-01,-5.000000e-02,9.567724e+01
pgm,1,30,5.000000e-01,0.000000e+00,1.324331e+02
pgm,1,31,5.000000e-01,5.000000e-02,1.734723e+02
pgm,1,32,5.000000e-01,1.000000e-01,2.177685e+02
pgm,1,33,5.000000e-01,1.500000e-01,2.636093e+02
pgm,1,34,5.000000e-01,2.000000e-01,3.085054e+02
pgm,1,35,5.000000e-01,2.500000e-01,3.505728e+02
pgm,1,36,5.000000e-01,3.000000e-01,3.894722e+02
pgm,1,37,5.000000e-01,3.500000e-01,4.259109e+02
pgm,1,38,5.000000e-01,4.000000e-01,4.607841e+02
pgm,1,39,5.000000e-01,4.500000e-01,4.922834e+02
pgm,1,40,5.000000e-01,5.000000e-01,5.202675e+02
pgm,1,41,5.000000e-01,5.500000e-01,5.433005e+02
pgm,1,42,5.000000e-01,6.000000e-01,5.630894e+02
pgm,1,43,5.000000e-01,6.500000e-01,5.806224e+02
pgm,1,44,5.000000e-01,7.000000e-01,5.970956e+02
pgm,1,45,5.000000e-01,7.500000e-01,6.129743e+02
pgm,1,46,5.000000e-01,8.000000e-01,6.256086e+02
pgm,1,47,5.000000e-01,8.500000e-01,6.355449e+02
pgm,1,48,5.000000e-01,9.000000e-01,6.443056e+02
pgm,1,49,5.000000e-01,9.500000e-01,6.524900e+02
pgm,1,50,5.000000e-01,1.000000e+00,6.602450e+02
