timestep,ALIF0,ALIF1,ALIF2,ALIF3,ALIF4
572,1.286253,0.116353676,1.0308988,0.08741194,1.0993116
573,1.2849673,0.11623738,1.0298684,0.087324575,1.0982128
574,1.283683,0.1161212,1.028839,0.08723729,1.0971152
575,1.2823999,0.11600514,1.0278107,0.0871501,1.0960186
576,1.2811182,0.11588919,1.0267833,0.08706299,1.094923
577,1.2798376,0.11577336,1.0257571,0.08697597,1.0938287
578,1.3945841,0.11565764,1.0247319,0.2035923,1.0927354
579,1.3931901,0.11554204,1.0237076,0.20338881,1.0916432
580,1.3917977,0.115426555,1.0226845,0.20318551,1.0905521
581,1.3904065,0.23201445,1.0216622,0.20298243,1.089462
582,1.3890167,0.23178254,1.0206411,0.20277955,1.2049787
583,1.3876284,0.23155087,1.0196209,0.20257686,1.2037743
584,1.3862414,0.23131943,1.0186018,0.20237438,1.2025712
585,1.3848559,0.23108822,1.0175837,0.20217212,1.2013692
586,1.3834717,0.23085725,1.0165666,0.20197004,1.2001684
587,1.3820889,0.23062651,1.0155506,0.20176817,1.1989688
588,1.4962064,0.23039599,1.0145355,0.31826976,1.1977704
589,1.4947109,0.34686896,1.0135216,0.31795165,1.1965731
590,1.493217,0.34652227,1.0125085,0.31763387,1.1953771
591,1.4917245,0.3461759,1.0114965,0.31731638,1.1941823
592,1.4902335,0.3458299,1.0104855,0.31699923,1.1929886
593,1.488744,0.34548426,1.0094756,0.31668237,1.1917962
594,1.487256,0.34513894,1.0084666,0.31636584,1.1906049
595,1.4857695,0.34479398,1.0074587,0.31604964,1.1894149
596,1.4842845,0.34444934,1.0064517,0.31573373,1.188226
597,1.482801,0.34410506,1.0054457,0.43212143,1.1870383
598,1.4813188,0.4604644,1.0044408,0.43168953,1.1858518
599,1.4798383,0.46000415,1.0034368,0.43125805,1.1846665
600,1.4783591,0.45954436,1.0024339,0.430827,1.1834824
601,1.5917469,0.45908505,1.001432,0.43039638,1.1822995
602,1.590156,0.45862618,1.000431,0.42996618,1.1811178
603,1.5885665,0.4581678,0.999431,0.42953643,1.1799372
604,1.5869788,0.45770985,0.9984321,0.4291071,1.1787579
605,1.5853926,0.45725235,0.99743414,0.4286782,1.1775798
606,1.583808,0.45679533,0.9964372,0.42824975,1.1764028
