node,T_K,state,t_rel_s,G_uA_um,G_over_plateau,phase,plateau_uA_um,plateau_spread_pct
t12_ret,300,programmed,8.2e-06,9.917911,3.993830406860526,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8.2e-06,9.917911,3.993830406860526,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8.65e-06,9.312451,3.7500185236788988,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8.65e-06,9.312451,3.7500185236788988,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.1e-06,8.754155,3.5251990490104332,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.1e-06,8.754155,3.5251990490104332,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.55e-06,8.240543,3.318373314949253,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.55e-06,8.240543,3.318373314949253,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-05,7.768955,3.128470169628576,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-05,7.768955,3.128470169628576,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-05,7.768955,3.128470169628576,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-05,7.768955,3.128470169628576,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.45e-05,4.82252,1.9419741731593503,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.45e-05,4.82252,1.9419741731593503,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.9e-05,3.614247,1.455416323710148,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.9e-05,3.614247,1.455416323710148,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.35e-05,3.069307,1.2359751589412187,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.35e-05,3.069307,1.2359751589412187,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.8e-05,2.795503,1.1257173898686752,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.8e-05,2.795503,1.1257173898686752,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.25e-05,2.652348,1.068070493068117,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.25e-05,2.652348,1.068070493068117,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.7e-05,2.575686,1.0371995741164608,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.7e-05,2.575686,1.0371995741164608,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.15e-05,2.534057,1.0204360474012888,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.15e-05,2.534057,1.0204360474012888,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.6e-05,2.511272,1.011260786016072,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.6e-05,2.511272,1.011260786016072,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5.05e-05,2.498743,1.0062154996480501,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,5.05e-05,2.498743,1.0062154996480501,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,5.5e-05,2.491837,1.0034345316811284,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,5.5e-05,2.491837,1.0034345316811284,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,5.95e-05,2.488024,1.0018990797758474,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,5.95e-05,2.488024,1.0018990797758474,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,6.4e-05,2.485917,1.0010506147445264,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,6.4e-05,2.485917,1.0010506147445264,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,6.85e-05,2.484752,1.0005814824419685,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,6.85e-05,2.484752,1.0005814824419685,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,7.3e-05,2.484107,1.0003217482487068,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,7.3e-05,2.484107,1.0003217482487068,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,7.75e-05,2.48375,1.0001779883929018,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,7.75e-05,2.48375,1.0001779883929018,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,8.2e-05,2.483553,1.0000986587245722,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,8.2e-05,2.483553,1.0000986587245722,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,8.65e-05,2.483444,1.0000547656593544,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,8.65e-05,2.483444,1.0000547656593544,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,9.1e-05,2.483383,1.0000302016503793,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,9.1e-05,2.483383,1.0000302016503793,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,9.55e-05,2.48335,1.0000169129242125,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,9.55e-05,2.48335,1.0000169129242125,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.0001,2.483331,1.0000092618394496,plateau,2.483308,0.6215499648050137
t12_ret,300,programmed,0.0001,2.483331,1.0000092618394496,plateau,2.483308,0.6215499648050137
