t_us,phase,pulse,Vg_V,Py_uC_cm2,Qg_fC,abs_Ig_A
0.6530000000000004,read,2,0.0,0.287347326678763,-0.11796377791408352,4.896084163231781e-11
0.6554999999999999,read,2,0.0,0.286970609592095,-0.11808189063364438,4.724508782432428e-11
0.6580000000000004,read,2,0.0,0.28659421435848,-0.11819585977637007,4.558765709036244e-11
0.6604999999999999,read,2,0.0,0.286218141009058,-0.11830582440512556,4.3985851502209226e-11
0.6630000000000003,read,2,0.0,0.285842389562362,-0.11841191779262451,4.2437354999540704e-11
0.6639999999999999,write,3,2.0,0.285692117249361,0.22898144072482227,4.069735542938922e-07
0.7140000000000003,write,3,2.0,0.27769492150591,0.22935452389144612,5.224737857182307e-12
0.7639999999999998,write,3,2.0,0.268241257792943,0.22964922058693182,6.112965506577123e-12
0.8140000000000002,write,3,2.0,0.257554221020452,0.22998784507962022,6.97724425200505e-12
0.8639999999999997,write,3,2.0,0.24567660416674403,0.23036908015339158,7.824418522725424e-12
0.914,write,3,2.0,0.232643096404891,0.23079187768607243,8.65012078496548e-12
0.9640000000000004,write,3,2.0,0.218490854616048,0.23125508784812096,9.452377943771323e-12
0.9650000000000001,read,3,0.0,0.218202851466808,-0.11315963354079235,1.1363048768383732e-07
0.9675000000000005,read,3,0.0,0.217483196486202,-0.1163333235429412,2.1458738977745262e-10
0.9700000000000001,read,3,0.0,0.21676415267111,-0.1165554759201769,7.236669284143289e-11
0.9725000000000005,read,3,0.0,0.216045705283139,-0.1167036885895012,5.815645693629237e-11
0.975,read,3,0.0,0.21532784638726102,-0.11684031801367946,5.465176967117986e-11
0.9775000000000004,read,3,0.0,0.214610534922063,-0.11697120343439493,5.2354168286221334e-11
0.98,read,3,0.0,0.213893771032841,-0.11709702608551034,5.0329060446132886e-11
0.9825000000000004,read,3,0.0,0.21317755484957798,-0.11721804928128444,4.840927830959438e-11
0.9849999999999999,read,3,0.0,0.212461886487365,-0.11733445486819268,4.6562234763374235e-11
0.9875000000000003,read,3,0.0,0.211746766046774,-0.11744640335212289,4.4779393572185036e-11
0.9899999999999999,read,3,0.0,0.21103219361421202,-0.11755404550524613,4.305686124927201e-11
0.9925000000000003,read,3,0.0,0.210318169262275,-0.11765752524755747,4.1391896924335755e-11
0.9949999999999998,read,3,0.0,0.209604693050088,-0.11775698080314594,3.9782222235571565e-11
0.9960000000000003,write,4,2.0,0.209319366128669,0.2314252810221617,4.0704667275866134e-07
1.0459999999999998,write,4,2.0,0.194868218275318,0.23203131539044755,9.774555348071789e-12
1.096,write,4,2.0,0.179295727914929,0.23254911240746895,1.0544311431445247e-11
1.1459999999999997,write,4,2.0,0.16270057971312402,0.23310427128501168,1.1274040103660556e-11
1.1960000000000002,write,4,2.0,0.14513538844615698,0.23369503620006124,1.1979070647195171e-11
1.2460000000000004,write,4,2.0,0.126644110956077,0.23431995307372058,1.2654829582685049e-11
1.296,write,4,2.0,0.10727145089374801,0.23497753111221995,1.330063097468774e-11
1.2970000000000004,read,4,0.0,0.106880369631926,-0.11204763910165838,1.1429431242767494e-07
1.2995,read,4,0.0,0.105903156806048,-0.11525575283763338,2.1436007796895312e-10
1.3020000000000005,read,4,0.0,0.104926741979072,-0.11547349467438611,7.038031287503534e-11
1.3045,read,4,0.0,0.103951106227167,-0.11561598174848894,5.5832229733109203e-11
1.3070000000000004,read,4,0.0,0.10297623950403799,-0.11574625505766907,5.210932367210508e-11
1.3094999999999999,read,4,0.0,0.10200208919785099,-0.11587029069426656,4.9614254638734494e-11
1.3120000000000003,read,4,0.0,0.101028655619931,-0.11598879715886852,4.740258584091036e-11
1.3144999999999998,read,4,0.0,0.10005593906426001,-0.11610205924870522,4.5304835934612996e-11
1.3170000000000002,read,4,0.0,0.09908393980788291,-0.11621027892967987,4.3287872389874747e-11
1.3195,read,4,0.0,0.0981126581112738,-0.11631363688644403,4.1343182705608034e-11
1.3220000000000003,read,4,0.0,0.0971420942187008,-0.11641230464586148,3.9467103766921715e-11
1.3244999999999998,read,4,0.0,0.0961722483585892,-0.11650644759538331,3.765717980881352e-11
1.3270000000000002,read,4,0.0,0.0952031207438903,-0.11659622609612472,3.591140029678198e-11
1.3279999999999998,write,5,2.0,0.0948155597102043,0.235270137662685,4.0715499063282725e-07
1.3780000000000001,write,5,2.0,0.0754231615766336,0.2360595459363598,1.3244999380209003e-11
1.4279999999999997,write,5,2.0,0.0554374104371251,0.23674442160898396,1.384733899085641e-11
1.478,write,5,2.0,0.0346666129877785,0.23745869555240795,1.441709427403724e-11
1.5280000000000005,write,5,2.0,0.0131637075613263,0.23820054033334442,1.4960981325156023e-11
1.578,write,5,2.0,-0.00902649530877725,0.23896842139584698,1.5474202546277726e-11
1.6280000000000003,write,5,2.0,-0.0318595333423877,0.23976081050135578,1.595691407726385e-11
1.629,read,5,0.0,-0.0323185631746396,-0.11054493391674296,1.1515851466713762e-07
1.6315000000000004,read,5,0.0,-0.0334655528042775,-0.11379255913803296,2.1322553489687662e-10
1.634,read,5,0.0,-0.0346116093446348,-0.11400393144852507,6.760412131137022e-11
1.6365000000000003,read,5,0.0,-0.035756754798297,-0.11413822923377619,5.249381600168524e-11
1.6389999999999998,read,5,0.0,-0.0369010007273406,-0.1142589528923324,4.8289463422500614e-11
1.6415000000000004,read,5,0.0,-0.0380444084353645,-0.11437232609825114,4.534928236761674e-11
1.644,read,5,0.0,-0.039186977426764504,-0.11447915070649943,4.2729843299202314e-11
1.6465000000000003,read,5,0.0,-0.040328707227891995,-0.11457980625309212,4.026221863703689e-11
1.6489999999999998,read,5,0.0,-0.0414695973863955,-0.11467458943233148,3.7913271695787234e-11
1.6515000000000002,read,5,0.0,-0.042609647470575496,-0.1147637746682962,3.5674094385978716e-11
1.6539999999999997,read,5,0.0,-0.0437488570687254,-0.11484762542377543,3.35403021915836e-11
