pulse,t_ns,dPy_uC_cm2,dPy_total_uC_cm2
12,299.9999999999988,-0.13063815986409022,-0.13063815986409022
13,0.0,0.0,-0.12549840631879983
13,49.999999999999524,-0.02115109783240965,-0.12549840631879983
13,99.99999999999905,-0.04221169038383965,-0.12549840631879983
13,150.00000000000026,-0.06317797173845996,-0.12549840631879983
13,199.99999999999977,-0.08404860163264982,-0.12549840631879983
13,249.9999999999993,-0.10482243348568998,-0.12549840631879983
13,300.0000000000005,-0.12549840631879983,-0.12549840631879983
14,0.0,0.0,-0.12043425632320992
14,49.999999999999524,-0.020298415391799995,-0.12043425632320992
14,100.00000000000074,-0.04050960271539994,-0.12043425632320992
14,150.00000000000026,-0.06062997310448992,-0.12043425632320992
14,199.99999999999977,-0.08065825249464997,-0.12043425632320992
14,250.000000000001,-0.10059334987520985,-0.12043425632320992
14,300.0000000000005,-0.12043425632320992,-0.12043425632320992
15,0.0,0.0,-0.11546832841008015
15,50.000000000001215,-0.01946076826892007,-0.11546832841008015
15,100.00000000000074,-0.03883823443004997,-0.11546832841008015
15,150.00000000000026,-0.05812888729789001,-0.11546832841008015
15,200.00000000000148,-0.07733148360533004,-0.11546832841008015
15,250.000000000001,-0.09644495892500005,-0.11546832841008015
15,300.0000000000005,-0.11546832841008015,-0.11546832841008015
