series,overdrive_V,I_over_Ion,Vt_V,Ion_A
"TCAD, erased",0.30282640018077683,0.5351755403165267,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.3228264001807239,0.6235028695036288,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.34282640018066984,0.7168892743658174,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.3628264001806159,0.8140297193768642,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.38282640018056285,0.9135985293652685,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.4028264001805088,1.0142197986890227,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.42282640018045486,1.1148624162735707,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.4428264001804008,1.214678158320007,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.4628264001803469,1.313056186256189,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.4828264001802928,1.409668414067255,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.5028264001802389,1.5044262634908554,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.5228264001801859,1.5974366502182262,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.542826400180132,1.688994876837573,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.5628264001800778,1.7795512766332509,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.5828264001800239,1.8696011934337702,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.6028264001799708,1.9588116333305101,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.6228264001799169,2.046155829750464,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.6428264001798629,2.131061010119449,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.6628264001798128,2.211806396810482,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.6828264001797528,2.2891395913619985,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.7028264001797029,2.363669228942335,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.7228264001796427,2.4348906636709673,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.7428264001795928,2.5029460070938123,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.7628264001795428,2.568007680278349,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.7828264001794829,2.6304473386004457,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.8028264001794327,2.690418466584851,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.8228264001793828,2.748019761435542,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.8428264001793229,2.8035687364775455,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.8628264001792727,2.8569549095303954,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.8828264001792128,2.9084197904404343,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.9028264001791628,2.9577898378778227,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.9228264001791129,3.005155525417667,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.9428264001790527,3.050368807918414,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.9628264001790028,3.0936293947980986,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",0.9828264001789528,3.135193247486397,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.002826400178893,3.1752875454051974,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.0228264001788427,3.213908380286517,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.0428264001787828,3.251092402540871,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.0628264001787329,3.287102739666492,0.35717359980803715,1.0709819098929524e-06
"TCAD, erased",1.0828264001786827,3.321916486246499,0.35717359980803715,1.0709819098929524e-06
