Vg_V,I_A,state,series
-0.0400000000093033,4.084237780658567e-12,erased,TCAD
-0.0200000000093574,8.634390044565883e-12,erased,TCAD
-9.41113853514253e-12,1.5003406733879727e-11,erased,TCAD
0.0199999999905351,2.3382363842622283e-11,erased,TCAD
0.0399999999904814,3.401118602801279e-11,erased,TCAD
0.0599999999904277,4.7302701226816694e-11,erased,TCAD
0.079999999990374,6.394684952305419e-11,erased,TCAD
0.0999999999903203,8.501985367962558e-11,erased,TCAD
0.119999999990266,1.1215704596350025e-10,erased,TCAD
0.139999999990212,1.4784904244506434e-10,erased,TCAD
0.159999999990159,1.9600846838956893e-10,erased,TCAD
0.179999999990105,2.6302802278467255e-10,erased,TCAD
0.199999999990051,3.595921525079633e-10,erased,TCAD
0.219999999989998,5.045089861190347e-10,erased,TCAD
0.239999999989944,7.310432648556373e-10,erased,TCAD
0.25999999998989,1.0974574252605007e-09,erased,TCAD
0.279999999989836,1.6985735284971781e-09,erased,TCAD
0.299999999989782,2.6685014727672394e-09,erased,TCAD
0.319999999989729,4.169684320154315e-09,erased,TCAD
0.339999999989675,6.383370118102858e-09,erased,TCAD
0.359999999989621,9.523494604621072e-09,erased,TCAD
0.379999999989567,1.38674210690857e-08,erased,TCAD
0.399999999989514,1.9794239471709626e-08,erased,TCAD
0.419999999989459,2.7827121531823546e-08,erased,TCAD
0.439999999989406,3.8659390885447064e-08,erased,TCAD
0.459999999989352,5.31470356313498e-08,erased,TCAD
0.479999999989298,7.226629396090107e-08,erased,TCAD
0.499999999989245,9.702813461692113e-08,erased,TCAD
0.51999999998919,1.2838093316461353e-07,erased,TCAD
0.539999999989137,1.6712870038405176e-07,erased,TCAD
0.559999999989083,2.138433548276013e-07,erased,TCAD
0.579999999989029,2.689575517994384e-07,erased,TCAD
0.599999999988976,3.326420227399908e-07,erased,TCAD
0.619999999988922,4.0482114981650443e-07,erased,TCAD
0.639999999988868,4.852031599955208e-07,erased,TCAD
0.659999999988814,5.731633222961866e-07,erased,TCAD
0.679999999988761,6.677602940047326e-07,erased,TCAD
0.699999999988707,7.677754442420759e-07,erased,TCAD
0.719999999988653,8.718111035678581e-07,erased,TCAD
0.7399999999886,9.784474978550078e-07,erased,TCAD
0.759999999988546,1.0862110570512153e-06,erased,TCAD
0.779999999988492,1.1939974798485407e-06,erased,TCAD
0.799999999988438,1.3008983339028153e-06,erased,TCAD
0.819999999988384,1.4062594221534095e-06,erased,TCAD
0.83999999998833,1.509729370413518e-06,erased,TCAD
0.859999999988276,1.6112133129665543e-06,erased,TCAD
0.879999999988223,1.710825754583716e-06,erased,TCAD
0.899999999988169,1.808882958994916e-06,erased,TCAD
0.919999999988115,1.9058672250011207e-06,erased,TCAD
0.939999999988061,2.0023090568818423e-06,erased,TCAD
0.959999999988008,2.0978518241848433e-06,erased,TCAD
0.979999999987954,2.191395878484751e-06,erased,TCAD
0.9999999999879,2.282327790716132e-06,erased,TCAD
1.01999999998785,2.3688046391695392e-06,erased,TCAD
1.03999999998779,2.451627091568446e-06,erased,TCAD
1.05999999998774,2.5314469851678642e-06,erased,TCAD
1.07999999998768,2.607723853358851e-06,erased,TCAD
1.09999999998763,2.68060989503627e-06,erased,TCAD
1.11999999998758,2.7502897700442766e-06,erased,TCAD
1.13999999998752,2.8171615145671392e-06,erased,TCAD
1.15999999998747,2.8813895077543123e-06,erased,TCAD
1.17999999998742,2.943079452525812e-06,erased,TCAD
1.19999999998736,3.002571399908893e-06,erased,TCAD
1.21999999998731,3.05974702548691e-06,erased,TCAD
1.23999999998725,3.1148649819363568e-06,erased,TCAD
1.2599999999872,3.1677394096323566e-06,erased,TCAD
1.27999999998715,3.2184672041371717e-06,erased,TCAD
1.29999999998709,3.266889811782352e-06,erased,TCAD
1.31999999998704,3.313221117741846e-06,erased,TCAD
1.33999999998699,3.357735252076469e-06,erased,TCAD
1.35999999998693,3.4006755198373634e-06,erased,TCAD
1.37999999998688,3.4420377353402193e-06,erased,TCAD
1.39999999998682,3.4818611505116896e-06,erased,TCAD
1.41999999998677,3.520427570142376e-06,erased,TCAD
1.43999999998672,3.557712462945161e-06,erased,TCAD
1.45999999998666,3.59378802908875e-06,erased,TCAD
1.47999999998661,3.628776409217854e-06,erased,TCAD
1.49999999998656,3.6627049841356354e-06,erased,TCAD
1.5199999999865,3.6955137674396335e-06,erased,TCAD
1.53999999998645,3.7273422322023818e-06,erased,TCAD
1.55999999998639,3.7581469228238647e-06,erased,TCAD
1.57999999998634,3.787898582853624e-06,erased,TCAD
1.59999999998629,3.816817908983026e-06,erased,TCAD
1.61999999998623,3.844931973319927e-06,erased,TCAD
1.63999999998618,3.872271126932694e-06,erased,TCAD
1.65999999998613,3.898864954921102e-06,erased,TCAD
1.67999999998607,3.924742597980482e-06,erased,TCAD
1.69999999998602,3.9499320308441035e-06,erased,TCAD
1.71999999998596,3.974460885158885e-06,erased,TCAD
1.73999999998591,3.9983555992745514e-06,erased,TCAD
1.75999999998586,4.021641487995518e-06,erased,TCAD
1.7799999999858,4.044341779789685e-06,erased,TCAD
1.79999999998575,4.066477760149286e-06,erased,TCAD
1.8199999999857,4.088068529373835e-06,erased,TCAD
1.83999999998564,4.109131947404803e-06,erased,TCAD
1.85999999998559,4.1296499935993e-06,erased,TCAD
1.87999999998553,4.14965347886169e-06,erased,TCAD
1.89999999998548,4.169177588838378e-06,erased,TCAD
1.91999999998543,4.188238242224022e-06,erased,TCAD
1.93999999998537,4.206850706000567e-06,erased,TCAD
1.95999999998532,4.225030284039969e-06,erased,TCAD
1.97999999998526,4.242791809831408e-06,erased,TCAD
1.99999999998521,4.260149684645492e-06,erased,TCAD
2.01999999998516,4.2771179888989625e-06,erased,TCAD
2.0399999999851,4.293687353206441e-06,erased,TCAD
2.05999999998505,4.309888293525856e-06,erased,TCAD
2.079999999985,4.325729513364072e-06,erased,TCAD
2.09999999998494,4.3412197362971e-06,erased,TCAD
2.11999999998489,4.356367464538105e-06,erased,TCAD
2.13999999998483,4.371181147547461e-06,erased,TCAD
2.15999999998478,4.38566901950556e-06,erased,TCAD
2.17999999998473,4.3998403109080165e-06,erased,TCAD
2.19999999998467,4.413704649259721e-06,erased,TCAD
2.21999999998462,4.427230604757995e-06,erased,TCAD
2.23999999998457,4.44046484014245e-06,erased,TCAD
2.25999999998451,4.453421766403128e-06,erased,TCAD
2.27999999998446,4.4661104910691555e-06,erased,TCAD
2.2999999999844,4.478539557172981e-06,erased,TCAD
2.31999999998435,4.490717942826885e-06,erased,TCAD
2.3399999999843,4.502653088471091e-06,erased,TCAD
2.35999999998424,4.514354109956374e-06,erased,TCAD
2.37999999998419,4.525828664114529e-06,erased,TCAD
2.39999999998414,4.537084239035921e-06,erased,TCAD
2.41999999998408,4.548127968203426e-06,erased,TCAD
2.43999999998403,4.5589667315809295e-06,erased,TCAD
2.45999999998397,4.569606989549725e-06,erased,TCAD
2.47999999998392,4.580055118667085e-06,erased,TCAD
2.49999999998387,4.590317184098922e-06,erased,TCAD
2.51999999998381,4.60035449627533e-06,erased,TCAD
2.53999999998376,4.6101723687304965e-06,erased,TCAD
2.55999999998371,4.6198213751671555e-06,erased,TCAD
2.57999999998365,4.62930524291466e-06,erased,TCAD
2.5999999999836,4.6386278960352225e-06,erased,TCAD
2.61999999998354,4.647793284826957e-06,erased,TCAD
2.63999999998349,4.65680525513609e-06,erased,TCAD
2.65999999998344,4.665667595679285e-06,erased,TCAD
2.67999999998338,4.674383967332358e-06,erased,TCAD
2.69999999998333,4.68295797798938e-06,erased,TCAD
2.71999999998328,4.6913931150294134e-06,erased,TCAD
2.73999999998322,4.699692820952881e-06,erased,TCAD
2.75999999998317,4.707860394276242e-06,erased,TCAD
2.77999999998311,4.715898947491844e-06,erased,TCAD
2.79999999998306,4.723811577987005e-06,erased,TCAD
2.81999999998301,4.7316014244489976e-06,erased,TCAD
2.83999999998295,4.739271573877713e-06,erased,TCAD
2.8599999999829,4.746824758173172e-06,erased,TCAD
2.87999999998284,4.7542638663399155e-06,erased,TCAD
2.89999999998279,4.761591448853723e-06,erased,TCAD
2.91999999998274,4.768810142314985e-06,erased,TCAD
2.93999999998268,4.775922387201343e-06,erased,TCAD
2.95999999998263,4.782930747903961e-06,erased,TCAD
2.97999999998258,4.789837447203487e-06,erased,TCAD
2.99999999998252,4.796644878205156e-06,erased,TCAD
3.01999999998247,4.803355121794845e-06,erased,TCAD
3.03999999998241,4.809970431408807e-06,erased,TCAD
3.05999999998236,4.81649276287268e-06,erased,TCAD
3.07999999998231,4.822924254950559e-06,erased,TCAD
3.09999999998225,4.829266527369345e-06,erased,TCAD
3.1199999999822,4.83552169869976e-06,erased,TCAD
3.13999999998215,4.841691567477552e-06,erased,TCAD
3.15999999998209,4.8477780132909975e-06,erased,TCAD
3.17999999998204,4.8537826583991384e-06,erased,TCAD
3.19999999998198,4.859707289469255e-06,erased,TCAD
3.21999999998193,4.8655534427444004e-06,erased,TCAD
3.23999999998188,4.871322812737722e-06,erased,TCAD
3.25999999998182,4.8770168544010375e-06,erased,TCAD
3.27999999998177,4.882637175966777e-06,erased,TCAD
3.29999999998172,4.888185156898045e-06,erased,TCAD
3.31999999998166,4.893662324354583e-06,erased,TCAD
3.33999999998161,4.8990699862159845e-06,erased,TCAD
3.35999999998155,4.90440959114632e-06,erased,TCAD
3.3799999999815,4.909682378615792e-06,erased,TCAD
3.39999999998145,4.914889736838441e-06,erased,TCAD
3.41999999998139,4.920032843020376e-06,erased,TCAD
3.43999999998134,4.925113019571235e-06,erased,TCAD
3.45999999998129,4.930131385136607e-06,erased,TCAD
3.47999999998123,4.9350892003713276e-06,erased,TCAD
3.5,4.93998752812416e-06,erased,TCAD
-3.5,1.438480235185188e-09,programmed,TCAD
-3.48000000003421,1.437276173364094e-09,programmed,TCAD
-3.46000000003411,1.4360559076641152e-09,programmed,TCAD
-3.44000000003401,1.4348193883994766e-09,programmed,TCAD
-3.42000000003391,1.433565533756899e-09,programmed,TCAD
-3.40000000003381,1.4322945491495996e-09,programmed,TCAD
-3.38000000003372,1.4310053038230757e-09,programmed,TCAD
-3.36000000003362,1.429698100387188e-09,programmed,TCAD
-3.34000000003352,1.4283717212922047e-09,programmed,TCAD
-3.32000000003342,1.427026531870489e-09,programmed,TCAD
-3.30000000003332,1.425661428416717e-09,programmed,TCAD
-3.28000000003323,1.4242760968436946e-09,programmed,TCAD
-3.26000000003313,1.4228700197821522e-09,programmed,TCAD
-3.24000000003303,1.4214425954320632e-09,programmed,TCAD
-3.22000000003293,1.4199932395485396e-09,programmed,TCAD
-3.20000000003283,1.4185212929238187e-09,programmed,TCAD
-3.18000000003274,1.417026089897625e-09,programmed,TCAD
-3.16000000003264,1.4155069125845598e-09,programmed,TCAD
