Vg_V,P_uC_cm2,E_MV_cm,E_over_Fc,branch
0.975,0.556935,0.0110028,0.00785915,forward
1.0,0.580663,0.0141932,0.010138,forward
1.025,0.604511,0.0173775,0.0124125,forward
1.05,0.628474,0.0205552,0.0146823,forward
1.075,0.652549,0.0237258,0.016947,forward
1.1,0.676732,0.0268888,0.0192063,forward
1.125,0.701019,0.030044,0.02146,forward
1.15,0.725408,0.0331908,0.0237077,forward
1.175,0.749896,0.0363292,0.0259494,forward
1.2,0.774481,0.0394588,0.0281849,forward
1.225,0.799159,0.0425795,0.0304139,forward
1.25,0.82393,0.045691,0.0326364,forward
1.275,0.84879,0.0487932,0.0348523,forward
1.3,0.873739,0.0518859,0.0370613,forward
1.325,0.898774,0.054969,0.0392636,forward
1.35,0.923893,0.0580425,0.0414589,forward
1.375,0.949096,0.0611062,0.0436473,forward
1.4,0.97438,0.06416,0.0458286,forward
1.425,0.999744,0.0672039,0.0480028,forward
1.45,1.02519,0.0702379,0.0501699,forward
1.475,1.05071,0.0732619,0.0523299,forward
1.5,1.0763,0.0762758,0.0544827,forward
1.525,1.10198,0.0792797,0.0566284,forward
1.55,1.12772,0.0822736,0.0587668,forward
1.575,1.15354,0.0852573,0.0608981,forward
1.6,1.17943,0.088231,0.0630221,forward
1.625,1.20539,0.0911946,0.065139,forward
1.65,1.23143,0.0941481,0.0672487,forward
1.675,1.25753,0.0970916,0.0693511,forward
1.7,1.2837,0.100025,0.0714464,forward
1.725,1.30993,0.102948,0.0735346,forward
1.75,1.33624,0.105862,0.0756156,forward
1.775,1.36261,0.108765,0.0776895,forward
1.8,1.38904,0.111659,0.0797563,forward
1.825,1.41554,0.114542,0.0818161,forward
1.85,1.4421,0.117416,0.0838687,forward
1.875,1.46872,0.12028,0.0859144,forward
1.9,1.49541,0.123134,0.0879531,forward
1.925,1.52216,0.125979,0.0899848,forward
1.95,1.54896,0.128813,0.0920096,forward
1.975,1.57583,0.131639,0.0940275,forward
2.0,1.60276,0.134454,0.0960386,forward
2.025,1.62975,0.13726,0.0980428,forward
2.05,1.65679,0.140056,0.10004,forward
2.075,1.68389,0.142843,0.102031,forward
2.1,1.71105,0.145621,0.104015,forward
2.125,1.73827,0.148389,0.105992,forward
2.15,1.76554,0.151147,0.107962,forward
2.175,1.79286,0.153897,0.109926,forward
2.2,1.82024,0.156637,0.111884,forward
2.225,1.84767,0.159368,0.113834,forward
2.25,1.87516,0.16209,0.115779,forward
2.275,1.9027,0.164803,0.117716,forward
2.3,1.93029,0.167507,0.119648,forward
2.325,1.95794,0.170202,0.121573,forward
2.35,1.98563,0.172888,0.123491,forward
2.375,2.01338,0.175565,0.125404,forward
2.4,2.04118,0.178233,0.12731,forward
2.425,2.06902,0.180893,0.129209,forward
2.45,2.09692,0.183544,0.131103,forward
2.475,2.12487,0.186186,0.13299,forward
2.5,2.15286,0.18882,0.134872,forward
2.525,2.1809,0.191446,0.136747,forward
2.55,2.20899,0.194063,0.138616,forward
2.575,2.23713,0.196671,0.140479,forward
2.6,2.26531,0.199271,0.142337,forward
2.625,2.29355,0.201863,0.144188,forward
2.65,2.32182,0.204447,0.146034,forward
2.675,2.35015,0.207023,0.147873,forward
2.7,2.37851,0.20959,0.149707,forward
2.725,2.40693,0.21215,0.151535,forward
2.75,2.43538,0.214701,0.153358,forward
2.775,2.46389,0.217245,0.155175,forward
2.8,2.49243,0.21978,0.156986,forward
2.825,2.52102,0.222308,0.158792,forward
2.85,2.54965,0.224828,0.160592,forward
2.875,2.57833,0.227341,0.162386,forward
2.9,2.60704,0.229846,0.164175,forward
2.925,2.6358,0.232343,0.165959,forward
2.95,2.6646,0.234832,0.167737,forward
2.975,2.69344,0.237315,0.16951,forward
3.0,2.72233,0.239789,0.171278,forward
3.025,2.75125,0.242256,0.17304,forward
3.05,2.78021,0.244716,0.174797,forward
3.075,2.80921,0.247169,0.176549,forward
3.1,2.83825,0.249615,0.178296,forward
3.125,2.86733,0.252053,0.180038,forward
3.15,2.89645,0.254484,0.181774,forward
3.175,2.92561,0.256908,0.183506,forward
3.2,2.95481,0.259325,0.185232,forward
3.225,2.98404,0.261735,0.186954,forward
3.25,3.01331,0.264138,0.18867,forward
3.275,3.04262,0.266535,0.190382,forward
3.3,3.07196,0.268924,0.192089,forward
3.325,3.10134,0.271307,0.193791,forward
3.35,3.13076,0.273683,0.195488,forward
3.375,3.16022,0.276052,0.19718,forward
3.4,3.18971,0.278415,0.198868,forward
3.425,3.21923,0.280771,0.200551,forward
3.45,3.24879,0.283121,0.202229,forward
3.475,3.27838,0.285464,0.203903,forward
3.5,3.30801,0.2878,0.205572,forward
3.525,3.33768,0.290131,0.207236,forward
3.55,3.36737,0.292455,0.208896,forward
3.575,3.39711,0.294773,0.210552,forward
3.6,3.42687,0.297084,0.212203,forward
3.625,3.45667,0.299389,0.21385,forward
3.65,3.4865,0.301689,0.215492,forward
3.675,3.51636,0.303982,0.21713,forward
3.7,3.54626,0.306269,0.218763,forward
3.725,3.57619,0.30855,0.220393,forward
3.75,3.60614,0.310825,0.222018,forward
3.775,3.63614,0.313094,0.223639,forward
3.8,3.66616,0.315357,0.225255,forward
3.825,3.69621,0.317615,0.226868,forward
3.85,3.7263,0.319867,0.228476,forward
3.875,3.75641,0.322112,0.23008,forward
3.9,3.78656,0.324353,0.231681,forward
3.925,3.81673,0.326587,0.233277,forward
3.95,3.84694,0.328816,0.234869,forward
3.975,3.87718,0.33104,0.236457,forward
4.0,3.90744,0.333258,0.238041,forward
4.0,3.90744,0.333258,0.238041,reverse
3.975,3.89723,0.326617,0.233298,reverse
3.95,3.88689,0.320005,0.228575,reverse
3.925,3.87643,0.313422,0.223873,reverse
3.9,3.86584,0.306867,0.219191,reverse
3.875,3.85512,0.300341,0.214529,reverse
3.85,3.84428,0.293844,0.209888,reverse
3.825,3.83331,0.287375,0.205268,reverse
3.8,3.82221,0.280935,0.200668,reverse
3.775,3.81098,0.274525,0.196089,reverse
3.75,3.79963,0.268143,0.19153,reverse
3.725,3.78814,0.261789,0.186992,reverse
3.7,3.77653,0.255465,0.182475,reverse
3.675,3.7648,0.24917,0.177978,reverse
3.65,3.75293,0.242903,0.173502,reverse
3.625,3.74094,0.236666,0.169047,reverse
3.6,3.72882,0.230457,0.164612,reverse
3.575,3.71657,0.224277,0.160198,reverse
3.55,3.70419,0.218126,0.155804,reverse
3.525,3.69169,0.212004,0.151431,reverse
3.5,3.67906,0.205911,0.147079,reverse
3.475,3.6663,0.199846,0.142747,reverse
3.45,3.65342,0.19381,0.138436,reverse
3.425,3.64041,0.187803,0.134145,reverse
3.4,3.62728,0.181824,0.129875,reverse
3.375,3.61402,0.175874,0.125625,reverse
3.35,3.60063,0.169953,0.121395,reverse
3.325,3.58712,0.16406,0.117186,reverse
3.3,3.57349,0.158195,0.112996,reverse
3.275,3.55973,0.152359,0.108828,reverse
3.25,3.54584,0.146551,0.104679,reverse
3.225,3.53183,0.140771,0.10055,reverse
3.2,3.5177,0.135019,0.0964419,reverse
3.175,3.50345,0.129295,0.0923534,reverse
3.15,3.48908,0.123599,0.0882848,reverse
3.125,3.47458,0.11793,0.084236,reverse
3.1,3.45996,0.11229,0.0802071,reverse
3.075,3.44522,0.106677,0.0761979,reverse
3.05,3.43037,0.101092,0.0722083,reverse
3.025,3.41539,0.0955337,0.0682383,reverse
3.0,3.40029,0.090003,0.0642878,reverse
2.975,3.38508,0.0844995,0.0603568,reverse
2.95,3.36975,0.079023,0.056445,reverse
2.925,3.3543,0.0735735,0.0525525,reverse
2.9,3.33873,0.0681508,0.0486791,reverse
2.875,3.32305,0.0627548,0.0448248,reverse
2.85,3.30725,0.0573853,0.0409895,reverse
2.825,3.29134,0.0520423,0.0371731,reverse
2.8,3.27531,0.0467257,0.0333755,reverse
2.775,3.25917,0.0414352,0.0295965,reverse
2.75,3.24292,0.0361707,0.0258362,reverse
2.725,3.22656,0.0309322,0.0220944,reverse
2.7,3.21009,0.0257194,0.018371,reverse
2.675,3.1935,0.0205323,0.0146659,reverse
2.65,3.17681,0.0153707,0.0109791,reverse
2.625,3.16001,0.0102345,0.00731038,reverse
2.6,3.1431,0.00512354,0.00365967,reverse
2.575,3.12608,3.76398e-05,2.68856e-05,reverse
2.55,3.10896,-0.00502333,-0.00358809,reverse
2.525,3.09173,-0.0100595,-0.00718537,reverse
2.5,3.07439,-0.0150711,-0.010765,reverse
2.475,3.05695,-0.0200581,-0.0143272,reverse
2.45,3.03941,-0.0250209,-0.017872,reverse
2.425,3.02177,-0.0299594,-0.0213996,reverse
2.4,3.00402,-0.0348739,-0.0249099,reverse
2.375,2.98618,-0.0397646,-0.0284033,reverse
2.35,2.96823,-0.0446315,-0.0318796,reverse
2.325,2.95019,-0.0494749,-0.0353392,reverse
2.3,2.93204,-0.0542948,-0.038782,reverse
2.275,2.9138,-0.0590915,-0.0422082,reverse
2.25,2.89546,-0.0638651,-0.0456179,reverse
2.225,2.87703,-0.0686157,-0.0490112,reverse
2.2,2.8585,-0.0733436,-0.0523883,reverse
2.175,2.83988,-0.0780488,-0.0557492,reverse
2.15,2.82117,-0.0827316,-0.059094,reverse
2.125,2.80236,-0.087392,-0.0624228,reverse
2.1,2.78346,-0.0920302,-0.0657359,reverse
2.075,2.76447,-0.0966465,-0.0690332,reverse
2.05,2.7454,-0.101241,-0.0723149,reverse
2.025,2.72623,-0.105813,-0.0755811,reverse
2.0,2.70698,-0.110365,-0.0788318,reverse
1.975,2.68764,-0.114894,-0.0820673,reverse
1.95,2.66821,-0.119403,-0.0852877,reverse
1.925,2.6487,-0.12389,-0.0884929,reverse
1.9,2.6291,-0.128356,-0.0916832,reverse
1.875,2.60942,-0.132802,-0.0948586,reverse
1.85,2.58966,-0.137227,-0.0980192,reverse
1.825,2.56982,-0.141631,-0.101165,reverse
1.8,2.5499,-0.146015,-0.104297,reverse
1.775,2.5299,-0.150379,-0.107414,reverse
1.75,2.50982,-0.154723,-0.110516,reverse
1.725,2.48966,-0.159047,-0.113605,reverse
1.7,2.46943,-0.163351,-0.116679,reverse
1.675,2.44912,-0.167635,-0.119739,reverse
1.65,2.42874,-0.171899,-0.122785,reverse
1.625,2.40829,-0.176145,-0.125818,reverse
1.6,2.38776,-0.18037,-0.128836,reverse
