t_us,phase,pulse,Vg_V,Py_uC_cm2,Id_uA_um,V_pgm_V,threshold_uA_um
0.08299999999999988,read,2,0.0,0.316585263498598,0.000639141820082761,0.2,0.08209538082760466
0.08550000000000028,read,2,0.0,0.316641484237413,0.0006376645793174425,0.2,0.08209538082760466
0.08799999999999983,read,2,0.0,0.31669751253634404,0.000637599073489155,0.2,0.08209538082760466
0.09050000000000023,read,2,0.0,0.31675334919313997,0.0006380328899366485,0.2,0.08209538082760466
0.09299999999999979,read,2,0.0,0.31680899499016296,0.0006387882560466392,0.2,0.08209538082760466
0.09550000000000018,read,2,0.0,0.316864450694844,0.0006398161558663375,0.2,0.08209538082760466
0.09799999999999974,read,2,0.0,0.31691971706011,0.0006410906447240198,0.2,0.08209538082760466
0.10050000000000014,read,2,0.0,0.316974794824804,0.0006425904368121225,0.2,0.08209538082760466
0.10299999999999969,read,2,0.0,0.317029684714088,0.0006442957116412963,0.2,0.08209538082760466
0.10400000000000019,write,3,2.0,0.31705160421108197,71.51523002602957,0.2,0.08209538082760466
0.10733333333332983,write,3,2.0,0.31712347038183397,73.77936257448593,0.2,0.08209538082760466
0.11066666666667047,write,3,2.0,0.317193238676932,73.77903178549015,0.2,0.08209538082760466
0.1140000000000001,write,3,2.0,0.317261203690386,73.77870419912888,0.2,0.08209538082760466
0.11733333333332972,write,3,2.0,0.31732737807524,73.7783797993479,0.2,0.08209538082760466
0.12066666666667036,write,3,2.0,0.31739175890924,73.77805859577043,0.2,0.08209538082760466
0.124,write,3,2.0,0.31745434330377303,73.77774059824016,0.2,0.08209538082760466
0.1250000000000005,read,3,0.0,0.31747293346328204,0.6244170597526333,0.2,0.08209538082760466
0.12750000000000006,read,3,0.0,0.317519239473269,0.0014763371902965278,0.2,0.08209538082760466
0.13000000000000045,read,3,0.0,0.317565340976745,0.0007089142297629362,0.2,0.08209538082760466
0.1325,read,3,0.0,0.317611246642137,0.0006422741756759169,0.2,0.08209538082760466
0.1350000000000004,read,3,0.0,0.317656961253592,0.0006341513622499231,0.2,0.08209538082760466
0.13749999999999996,read,3,0.0,0.317702503836525,0.0006325589589802116,0.2,0.08209538082760466
0.14000000000000035,read,3,0.0,0.317747875206368,0.0006323801004308783,0.2,0.08209538082760466
0.1424999999999999,read,3,0.0,0.317793076161769,0.0006327027495257162,0.2,0.08209538082760466
0.1450000000000003,read,3,0.0,0.31783810748512703,0.0006333493617677605,0.2,0.08209538082760466
0.14749999999999985,read,3,0.0,0.31788296994307197,0.0006342711183244594,0.2,0.08209538082760466
0.15000000000000024,read,3,0.0,0.317927664286917,0.0006354422529063475,0.2,0.08209538082760466
0.1524999999999998,read,3,0.0,0.317972191253106,0.0006368416393088685,0.2,0.08209538082760466
0.15500000000000022,read,3,0.0,0.318016551563643,0.0006384496033557435,0.2,0.08209538082760466
0.15599999999999986,write,4,2.0,0.318034260773341,71.51028647354366,0.2,0.08209538082760466
0.15933333333333033,write,4,2.0,0.318092079316541,73.77443192154016,0.2,0.08209538082760466
0.16266666666667012,write,4,2.0,0.318147772770986,73.77412875808382,0.2,0.08209538082760466
0.16599999999999976,write,4,2.0,0.31820164059839995,73.77382888499366,0.2,0.08209538082760466
0.16933333333333025,write,4,2.0,0.318253695955922,73.77353228476832,0.2,0.08209538082760466
0.17266666666665986,write,4,2.0,0.31830393618262304,73.77323896658663,0.2,0.08209538082760466
0.17599999999999966,write,4,2.0,0.318352358651733,73.7729489398148,0.2,0.08209538082760466
0.17700000000000016,read,4,0.0,0.318366699321401,0.6242735342835445,0.2,0.08209538082760466
0.17949999999999972,read,4,0.0,0.318402396963305,0.001472166400301089,0.2,0.08209538082760466
0.18200000000000013,read,4,0.0,0.318437915645125,0.0007047862759430815,0.2,0.08209538082760466
0.18449999999999966,read,4,0.0,0.318473263230507,0.0006380590195117721,0.2,0.08209538082760466
0.18700000000000008,read,4,0.0,0.318508444065072,0.0006298410015926445,0.2,0.08209538082760466
0.18950000000000047,read,4,0.0,0.318543474984591,0.0006281541772341592,0.2,0.08209538082760466
0.19200000000000003,read,4,0.0,0.318578356799208,0.0006278826485652583,0.2,0.08209538082760466
0.19450000000000042,read,4,0.0,0.318613090301425,0.000628114689130949,0.2,0.08209538082760466
0.19699999999999998,read,4,0.0,0.31864767626667,0.0006286729495321164,0.2,0.08209538082760466
0.19950000000000037,read,4,0.0,0.318682115453799,0.000629508771282134,0.2,0.08209538082760466
0.20199999999999993,read,4,0.0,0.318716408605579,0.0006305965357253499,0.2,0.08209538082760466
0.20450000000000032,read,4,0.0,0.318750556449154,0.000631915251785273,0.2,0.08209538082760466
0.20699999999999988,read,4,0.0,0.318784559696504,0.0006334453646061052,0.2,0.08209538082760466
0.20800000000000038,write,5,2.0,0.318798127699269,71.5057741454669,0.2,0.08209538082760466
0.21133333333333001,write,5,2.0,0.318842130653045,73.76993433318522,0.2,0.08209538082760466
0.2146666666666698,write,5,2.0,0.31888398431285503,73.76965885651057,0.2,0.08209538082760466
0.21800000000000028,write,5,2.0,0.31892399256188997,73.76938675195986,0.2,0.08209538082760466
0.2213333333333299,write,5,2.0,0.318962169035072,73.76911800061269,0.2,0.08209538082760466
0.2246666666666697,write,5,2.0,0.31899851132962503,73.76885261116902,0.2,0.08209538082760466
0.2280000000000002,write,5,2.0,0.319033017077294,73.768590592481,0.2,0.08209538082760466
0.22899999999999984,read,5,0.0,0.31904318208925897,0.6241453216883333,0.2,0.08209538082760466
0.23150000000000023,read,5,0.0,0.319068456572763,0.001468608041213481,0.2,0.08209538082760466
0.2339999999999998,read,5,0.0,0.319093578566217,0.0007012673295114847,0.2,0.08209538082760466
0.23650000000000018,read,5,0.0,0.319118555084276,0.0006344709485106558,0.2,0.08209538082760466
0.23899999999999974,read,5,0.0,0.319143390006985,0.0006261773830225274,0.2,0.08209538082760466
0.24150000000000013,read,5,0.0,0.319168097882596,0.0006244159215792161,0.2,0.08209538082760466
0.2439999999999997,read,5,0.0,0.319192679509255,0.0006240714523555017,0.2,0.08209538082760466
0.2465000000000001,read,5,0.0,0.319217135666651,0.0006242325088342572,0.2,0.08209538082760466
0.2490000000000005,read,5,0.0,0.319241467116606,0.0006247219000224585,0.2,0.08209538082760466
0.25150000000000006,read,5,0.0,0.319265674603611,0.0006254910969071309,0.2,0.08209538082760466
0.25400000000000045,read,5,0.0,0.319289758855328,0.0006265146012674745,0.2,0.08209538082760466
0.2565,read,5,0.0,0.31931372058308904,0.0006277715266955349,0.2,0.08209538082760466
0.2590000000000004,read,5,0.0,0.319337560482367,0.0006292424168956312,0.2,0.08209538082760466
0.26000000000000006,write,6,2.0,0.31934706482762204,71.50169345507959,0.2,0.08209538082760466
0.2633333333333297,write,6,2.0,0.319377512366237,73.76587011106972,0.2,0.08209538082760466
0.2666666666666703,write,6,2.0,0.31940578926795804,73.76562229439507,0.2,0.08209538082760466
0.26999999999999996,write,6,2.0,0.319432203409325,73.76537792555142,0.2,0.08209538082760466
0.27333333333333043,write,6,2.0,0.319456768876443,73.76513698422958,0.2,0.08209538082760466
0.2766666666666702,write,6,2.0,0.31947948352023997,73.76489947862959,0.2,0.08209538082760466
0.27999999999999986,write,6,2.0,0.319500345226389,73.76466541706408,0.2,0.08209538082760466
0.28100000000000036,read,6,0.0,0.319506416637045,0.6240323488435298,0.2,0.08209538082760466
0.2834999999999999,read,6,0.0,0.319521473633913,0.0014656347681314083,0.2,0.08209538082760466
0.2860000000000003,read,6,0.0,0.319536405380472,0.0006983292790009327,0.2,0.08209538082760466
0.28849999999999987,read,6,0.0,0.319551218004025,0.0006314809719236164,0.2,0.08209538082760466
