cycle,phase,pulse,segment,E_gate_J,E_drain_J,E_total_J,n_samples
4,fire,1,read,7.402478e-17,3.696344e-18,7.772112e-17,21
4,fire,2,rise,2.572798e-16,5.367643e-16,7.940441e-16,30
4,fire,2,write,3.611013e-15,1.230482e-13,1.266592e-13,11
4,fire,2,fall,-2.647211e-16,5.475537e-16,2.828327e-16,30
4,fire,2,read,7.402450e-17,3.696330e-18,7.772083e-17,21
4,fire,3,rise,2.573178e-16,5.370198e-16,7.943376e-16,30
4,fire,3,write,3.611087e-15,1.230601e-13,1.266712e-13,11
4,fire,3,fall,-2.647586e-16,5.478690e-16,2.831104e-16,30
4,fire,3,read,7.402538e-17,3.696372e-18,7.772175e-17,21
4,fire,4,rise,2.573728e-16,5.373910e-16,7.947638e-16,30
4,fire,4,write,3.611173e-15,1.230766e-13,1.266877e-13,11
4,fire,4,fall,-2.648086e-16,5.482897e-16,2.834811e-16,30
4,fire,4,read,7.402724e-17,3.696464e-18,7.772371e-17,21
4,fire,5,rise,2.574419e-16,5.378579e-16,7.952998e-16,30
4,fire,5,write,3.611267e-15,1.230968e-13,1.267081e-13,11
4,fire,5,fall,-2.648688e-16,5.487971e-16,2.839283e-16,30
4,fire,5,read,7.402995e-17,3.696597e-18,7.772655e-17,21
4,fire,6,rise,2.575223e-16,5.384031e-16,7.959253e-16,30
4,fire,6,write,3.611369e-15,1.231201e-13,1.267315e-13,11
4,fire,6,fall,-2.649372e-16,5.493741e-16,2.844369e-16,30
4,fire,6,read,7.403330e-17,3.696762e-18,7.773006e-17,21
4,fire,7,rise,2.576117e-16,5.390112e-16,7.966229e-16,30
4,fire,7,write,3.611476e-15,1.231458e-13,1.267573e-13,11
4,fire,7,fall,-2.650120e-16,5.500072e-16,2.849952e-16,30
4,fire,7,read,7.403705e-17,3.696946e-18,7.773399e-17,21
4,fire,8,rise,2.577083e-16,5.396701e-16,7.973784e-16,30
4,fire,8,write,3.611589e-15,1.231736e-13,1.267851e-13,11
4,fire,8,fall,-2.650921e-16,5.506872e-16,2.855952e-16,30
4,fire,8,read,7.404113e-17,3.697148e-18,7.773828e-17,21
4,fire,9,rise,2.578119e-16,5.403788e-16,7.981908e-16,30
4,fire,9,write,3.611715e-15,1.232034e-13,1.268151e-13,11
4,fire,9,fall,-2.651782e-16,5.514251e-16,2.862469e-16,30
4,fire,9,read,7.404572e-17,3.697376e-18,7.774310e-17,21
4,erase,0,rise,3.567393e-16,2.850625e-18,3.595899e-16,30
4,erase,0,hold,1.147570e-14,4.805380e-17,1.152376e-14,41
4,erase,0,fall,-1.617537e-15,3.252759e-19,-1.617212e-15,31
4,relax,0,hold,-1.991490e-14,2.479239e-16,-1.966698e-14,71
5,fire,1,rise,2.653817e-16,5.440246e-16,8.094063e-16,30
5,fire,1,write,3.610965e-15,1.230445e-13,1.266555e-13,11
5,fire,1,fall,-2.647066e-16,5.474243e-16,2.827177e-16,30
5,fire,1,read,7.402512e-17,3.696361e-18,7.772148e-17,21
5,fire,2,rise,2.572894e-16,5.368249e-16,7.941143e-16,30
5,fire,2,write,3.611025e-15,1.230510e-13,1.266620e-13,11
5,fire,2,fall,-2.647291e-16,5.476138e-16,2.828847e-16,30
5,fire,2,read,7.402485e-17,3.696347e-18,7.772119e-17,21
5,fire,3,rise,2.573273e-16,5.370805e-16,7.944078e-16,30
5,fire,3,write,3.611099e-15,1.230629e-13,1.266740e-13,11
5,fire,3,fall,-2.647666e-16,5.479291e-16,2.831625e-16,30
5,fire,3,read,7.402572e-17,3.696389e-18,7.772211e-17,21
5,fire,4,rise,2.573823e-16,5.374516e-16,7.948340e-16,30
5,fire,4,write,3.611184e-15,1.230793e-13,1.266905e-13,11
5,fire,4,fall,-2.648166e-16,5.483499e-16,2.835333e-16,30
5,fire,4,read,7.402759e-17,3.696481e-18,7.772407e-17,21
5,fire,5,rise,2.574514e-16,5.379186e-16,7.953700e-16,30
5,fire,5,write,3.611278e-15,1.230996e-13,1.267109e-13,11
5,fire,5,fall,-2.648768e-16,5.488574e-16,2.839805e-16,30
5,fire,5,read,7.403030e-17,3.696615e-18,7.772691e-17,21
5,fire,6,rise,2.575318e-16,5.384639e-16,7.959956e-16,30
5,fire,6,write,3.611380e-15,1.231229e-13,1.267343e-13,11
5,fire,6,fall,-2.649452e-16,5.494343e-16,2.844891e-16,30
5,fire,6,read,7.403365e-17,3.696779e-18,7.773043e-17,21
5,fire,7,rise,2.576212e-16,5.390721e-16,7.966933e-16,30
5,fire,7,write,3.611487e-15,1.231486e-13,1.267601e-13,11
5,fire,7,fall,-2.650200e-16,5.500675e-16,2.850475e-16,30
5,fire,7,read,7.403740e-17,3.696964e-18,7.773436e-17,21
5,fire,8,rise,2.577178e-16,5.397309e-16,7.974487e-16,30
5,fire,8,write,3.611600e-15,1.231763e-13,1.267879e-13,11
5,fire,8,fall,-2.651000e-16,5.507475e-16,2.856475e-16,30
5,fire,8,read,7.404149e-17,3.697166e-18,7.773865e-17,21
5,fire,9,rise,2.578214e-16,5.404397e-16,7.982611e-16,30
5,fire,9,write,3.611726e-15,1.232062e-13,1.268179e-13,11
5,fire,9,fall,-2.651862e-16,5.514853e-16,2.862992e-16,30
5,fire,9,read,7.404608e-17,3.697394e-18,7.774347e-17,21
5,erase,0,rise,3.567413e-16,2.850642e-18,3.595919e-16,30
5,erase,0,hold,1.147570e-14,4.805380e-17,1.152376e-14,41
5,erase,0,fall,-1.631540e-15,3.727598e-19,-1.631167e-15,31
5,relax,0,hold,-1.991489e-14,2.479258e-16,-1.966697e-14,71
6,fire,1,rise,2.653813e-16,5.440201e-16,8.094014e-16,30
6,fire,1,write,3.610964e-15,1.230443e-13,1.266553e-13,11
6,fire,1,fall,-2.647059e-16,5.474194e-16,2.827135e-16,30
6,fire,1,read,7.402510e-17,3.696360e-18,7.772146e-17,21
6,fire,2,rise,2.572886e-16,5.368198e-16,7.941084e-16,30
6,fire,2,write,3.611023e-15,1.230507e-13,1.266617e-13,11
6,fire,2,fall,-2.647283e-16,5.476076e-16,2.828793e-16,30
6,fire,2,read,7.402486e-17,3.696348e-18,7.772121e-17,21
6,fire,3,rise,2.573261e-16,5.370719e-16,7.943979e-16,30
6,fire,3,write,3.611095e-15,1.230624e-13,1.266735e-13,11
6,fire,3,fall,-2.647652e-16,5.479169e-16,2.831517e-16,30
6,fire,3,read,7.402576e-17,3.696391e-18,7.772215e-17,21
6,fire,4,rise,2.573798e-16,5.374339e-16,7.948137e-16,30
6,fire,4,write,3.611178e-15,1.230786e-13,1.266897e-13,11
6,fire,4,fall,-2.648141e-16,5.483257e-16,2.835116e-16,30
6,fire,4,read,7.402761e-17,3.696482e-18,7.772409e-17,21
6,fire,5,rise,2.574469e-16,5.378860e-16,7.953329e-16,30
6,fire,5,write,3.611269e-15,1.230983e-13,1.267095e-13,11
6,fire,5,fall,-2.648727e-16,5.488158e-16,2.839432e-16,30
6,fire,5,read,7.403025e-17,3.696612e-18,7.772687e-17,21
6,fire,6,rise,2.575248e-16,5.384115e-16,7.959363e-16,30
6,fire,6,write,3.611368e-15,1.231209e-13,1.267323e-13,11
6,fire,6,fall,-2.649391e-16,5.493711e-16,2.844320e-16,30
6,fire,6,read,7.403346e-17,3.696771e-18,7.773023e-17,21
6,fire,7,rise,2.576113e-16,5.389965e-16,7.966078e-16,30
6,fire,7,write,3.611473e-15,1.231458e-13,1.267573e-13,11
6,fire,7,fall,-2.650117e-16,5.499797e-16,2.849680e-16,30
6,fire,7,read,7.403686e-17,3.696938e-18,7.773380e-17,21
6,fire,8,rise,2.577050e-16,5.396312e-16,7.973362e-16,30
6,fire,8,write,3.611588e-15,1.231729e-13,1.267845e-13,11
6,fire,8,fall,-2.650902e-16,5.506403e-16,2.855502e-16,30
6,fire,8,read,7.404083e-17,3.697135e-18,7.773796e-17,21
6,fire,9,rise,2.578087e-16,5.403386e-16,7.981473e-16,30
6,fire,9,write,3.611722e-15,1.232031e-13,1.268148e-13,11
6,fire,9,fall,-2.651779e-16,5.513900e-16,2.862121e-16,30
6,fire,9,read,7.404549e-17,3.697366e-18,7.774285e-17,21
6,erase,0,rise,3.567392e-16,2.850626e-18,3.595898e-16,30
6,erase,0,hold,1.147570e-14,4.805379e-17,1.152375e-14,41
6,erase,0,fall,-1.631546e-15,3.727483e-19,-1.631174e-15,31
