t_relax_s,ID_uA_per_um_Verase_-10.0V,ID_uA_per_um_Verase_-8.0V,ID_uA_per_um_Verase_-6.0V,ID_uA_per_um_Verase_-4.0V
4.000080e-05,1.806759e-06,1.730825e-06,8.392959e-07,1.140644e-06
4.125082e-05,1.674259e-06,1.704146e-06,7.924315e-07,1.036568e-06
4.250085e-05,1.555849e-06,1.685366e-06,7.509383e-07,9.467927e-07
4.375087e-05,1.449727e-06,1.658674e-06,7.141265e-07,8.690584e-07
4.500090e-05,1.354345e-06,1.638114e-06,6.812339e-07,8.014882e-07
4.625092e-05,1.268383e-06,1.619767e-06,6.518729e-07,7.425211e-07
4.750095e-05,1.190175e-06,1.598327e-06,6.255074e-07,6.908603e-07
4.875097e-05,1.120050e-06,1.580700e-06,6.017787e-07,6.454182e-07
5.000100e-05,1.055762e-06,1.558473e-06,5.803337e-07,6.052887e-07
5.125102e-05,9.970860e-07,1.539483e-06,5.608925e-07,5.697163e-07
5.250105e-05,9.433306e-07,1.517766e-06,5.432052e-07,5.380541e-07
5.375107e-05,8.939869e-07,1.497341e-06,5.270615e-07,5.097725e-07
5.500110e-05,8.484110e-07,1.476503e-06,5.122716e-07,4.844067e-07
5.625112e-05,8.059265e-07,1.455829e-06,4.986853e-07,4.615800e-07
5.750115e-05,7.680126e-07,1.435244e-06,4.861566e-07,4.409534e-07
5.875117e-05,7.320425e-07,1.414856e-06,4.745728e-07,4.222622e-07
6.000120e-05,6.989640e-07,1.394752e-06,4.638283e-07,4.052548e-07
6.125122e-05,6.680572e-07,1.375015e-06,4.538334e-07,3.897396e-07
6.250125e-05,6.392850e-07,1.355718e-06,4.445081e-07,3.755354e-07
6.375127e-05,6.124307e-07,1.336918e-06,4.357834e-07,3.624924e-07
6.500130e-05,5.873365e-07,1.318658e-06,4.275997e-07,3.504796e-07
6.625132e-05,5.638473e-07,1.300969e-06,4.199015e-07,3.393854e-07
6.750135e-05,5.418276e-07,1.283867e-06,4.126424e-07,3.291157e-07
6.875137e-05,5.211501e-07,1.267353e-06,4.057812e-07,3.195800e-07
7.000140e-05,5.017082e-07,1.251425e-06,3.992793e-07,3.107073e-07
7.125142e-05,4.834044e-07,1.236065e-06,3.931069e-07,3.024282e-07
7.250145e-05,4.661529e-07,1.221251e-06,3.872305e-07,2.946882e-07
7.375147e-05,4.498611e-07,1.206950e-06,3.816277e-07,2.874341e-07
7.500150e-05,4.344646e-07,1.193132e-06,3.762732e-07,2.806264e-07
7.625152e-05,4.198981e-07,1.179754e-06,3.711472e-07,2.742188e-07
7.750155e-05,4.060942e-07,1.166778e-06,3.662299e-07,2.681810e-07
7.875157e-05,3.930052e-07,1.154162e-06,3.615056e-07,2.624771e-07
8.000160e-05,3.805773e-07,1.141862e-06,3.569597e-07,2.570823e-07
8.125162e-05,3.687622e-07,1.129833e-06,3.525765e-07,2.519731e-07
8.250165e-05,3.575243e-07,1.118036e-06,3.483448e-07,2.471216e-07
8.375167e-05,3.468184e-07,1.106427e-06,3.442550e-07,2.425126e-07
8.500170e-05,3.366169e-07,1.094967e-06,3.402951e-07,2.381211e-07
8.625172e-05,3.268796e-07,1.083616e-06,3.364572e-07,2.339372e-07
8.750175e-05,3.175808e-07,1.072340e-06,3.327316e-07,2.299432e-07
8.875177e-05,3.086945e-07,1.061102e-06,3.291117e-07,2.261258e-07
9.000180e-05,3.001953e-07,1.049870e-06,3.255912e-07,2.224738e-07
9.125182e-05,2.920543e-07,1.038615e-06,3.221637e-07,2.189777e-07
9.250185e-05,2.842532e-07,1.027309e-06,3.188211e-07,2.156211e-07
9.375187e-05,2.767762e-07,1.015924e-06,3.155607e-07,2.123980e-07
9.500190e-05,2.695986e-07,1.004442e-06,3.123776e-07,2.092987e-07
9.625193e-05,2.627079e-07,9.928361e-07,3.092655e-07,2.063127e-07
9.750195e-05,2.560843e-07,9.810927e-07,3.062217e-07,2.034402e-07
9.875197e-05,2.497124e-07,9.691918e-07,3.032422e-07,2.006666e-07
1.000020e-04,2.435862e-07,9.571247e-07,3.003239e-07,1.979910e-07
