file,cycle,pulse,segment,t_start,t_end,E_gate_J,E_drain_J,E_total_J,n_samples
c1_p9_fall_cyclic_vm4_des.plt,1,9,fall,1.717001e-06,1.718000e-06,-2.815707e-16,7.778287e-16,4.962580e-16,30
c1_p9_fall_cyclic_vm6_des.plt,1,9,fall,1.717001e-06,1.718000e-06,-2.815707e-16,7.778287e-16,4.962580e-16,30
c1_p9_read_cyclic_vm10_des.plt,1,9,read,1.718000e-06,1.818000e-06,7.594089e-17,3.787992e-18,7.972888e-17,21
c1_p9_read_cyclic_vm4_des.plt,1,9,read,1.718000e-06,1.818000e-06,7.594089e-17,3.787992e-18,7.972888e-17,21
c1_p9_read_cyclic_vm6_des.plt,1,9,read,1.718000e-06,1.818000e-06,7.594089e-17,3.787992e-18,7.972888e-17,21
c1_p9_rise_cyclic_vm10_des.plt,1,9,rise,1.616001e-06,1.617000e-06,2.803244e-16,7.640185e-16,1.044343e-15,30
c1_p9_rise_cyclic_vm4_des.plt,1,9,rise,1.616001e-06,1.617000e-06,2.803244e-16,7.640185e-16,1.044343e-15,30
c1_p9_rise_cyclic_vm6_des.plt,1,9,rise,1.616001e-06,1.617000e-06,2.803244e-16,7.640185e-16,1.044343e-15,30
c1_p9_write_cyclic_vm10_des.plt,1,9,write,1.617000e-06,1.717000e-06,3.637644e-15,1.306354e-13,1.342730e-13,11
c1_p9_write_cyclic_vm4_des.plt,1,9,write,1.617000e-06,1.717000e-06,3.637644e-15,1.306354e-13,1.342730e-13,11
c1_p9_write_cyclic_vm6_des.plt,1,9,write,1.617000e-06,1.717000e-06,3.637644e-15,1.306354e-13,1.342730e-13,11
c2_p1_fall_cyclic_vm10_des.plt,2,1,fall,8.193900e-05,8.194000e-05,-2.766999e-16,6.621457e-16,3.854458e-16,30
c2_p1_fall_cyclic_vm4_des.plt,2,1,fall,8.193900e-05,8.194000e-05,-2.706729e-16,6.104203e-16,3.397474e-16,30
c2_p1_fall_cyclic_vm6_des.plt,2,1,fall,8.193900e-05,8.194000e-05,-2.622469e-16,5.265788e-16,2.643319e-16,30
c2_p1_read_cyclic_vm10_des.plt,2,1,read,8.194000e-05,8.204000e-05,7.497217e-17,3.742634e-18,7.871480e-17,21
