timestep,Normal,Epileptic
348,0.5222525,0.4777475
349,0.51335984,0.48664021
350,0.5127084,0.4872916
351,0.53799194,0.462008
352,0.5361454,0.4638546
353,0.49678126,0.50321865
354,0.4784039,0.521596
355,0.4794562,0.5205439
356,0.48045725,0.5195428
357,0.48140958,0.5185904
358,0.483961,0.5160391
359,0.45060152,0.54939854
360,0.45299655,0.5470035
361,0.45527676,0.5447233
362,0.45744747,0.5425525
363,0.45951384,0.54048616
364,0.40631542,0.5936846
365,0.40713406,0.592866
366,0.4419822,0.5580178
367,0.45929003,0.54071
368,0.4612677,0.53873235
369,0.46315,0.53685004
370,0.4649414,0.5350585
371,0.42905822,0.5709418
372,0.4324754,0.5675246
373,0.4357319,0.5642682
374,0.42065525,0.57934475
375,0.42446497,0.57553506
376,0.4557102,0.5442898
377,0.45786014,0.54213995
378,0.45990664,0.5400934
379,0.42469645,0.5753036
380,0.42831782,0.57168216
381,0.43176973,0.5682302
382,0.43505946,0.5649406
383,0.44236603,0.55763406
384,0.43264845,0.5673515
385,0.43589675,0.56410325
386,0.4508845,0.5491155
387,0.4730777,0.5269223
388,0.47438863,0.5256114
389,0.47563586,0.5243641
390,0.4768226,0.52317744
391,0.4969911,0.5030089
392,0.5213035,0.47869655
393,0.52026546,0.47973454
394,0.512853,0.48714694
395,0.532107,0.46789297
396,0.52746075,0.47253928
397,0.5261237,0.47387627
398,0.5248516,0.47514844
399,0.5552301,0.44476986
400,0.5341503,0.46584976
401,0.55226594,0.44773403
402,0.6350042,0.36499578
403,0.62269616,0.37730378
404,0.64488477,0.3551152
405,0.6381922,0.36180782
406,0.63177586,0.36822414
407,0.60400975,0.39599028
408,0.59907347,0.4009265
409,0.5943593,0.40564072
410,0.60899067,0.39100927
411,0.7323562,0.26764378
412,0.7226227,0.27737734
413,0.7274632,0.27253678
414,0.7330424,0.2669576
415,0.6887011,0.31129894
416,0.6505837,0.34941626
417,0.6436599,0.35634017
418,0.6370175,0.36298257
419,0.63065016,0.3693499
420,0.67074984,0.3292502
421,0.6462685,0.35373142
422,0.66150165,0.33849838
423,0.67117995,0.32882014
424,0.6634532,0.3365468
425,0.65602136,0.3439787
426,0.6488803,0.35111967
427,0.64202523,0.3579748
428,0.63545,0.36455
429,0.6291483,0.3708517
430,0.6221466,0.3778534
431,0.6234915,0.37650856
432,0.60003227,0.39996782
433,0.59527475,0.40472528
434,0.59073263,0.40926734
435,0.58639765,0.41360232
436,0.5822617,0.41773832
437,0.5783166,0.4216833
438,0.5745548,0.42544526
439,0.57096833,0.42903167
440,0.5417745,0.4582255
441,0.53666914,0.46333086
442,0.55167747,0.44832247
443,0.5076354,0.4923646
444,0.507263,0.49273697
445,0.4097208,0.59027916
446,0.41403502,0.585965
447,0.4002175,0.5997825
448,0.3849068,0.61509323
449,0.36531815,0.6346819
450,0.3711306,0.6288694
451,0.31905892,0.68094105
452,0.3271463,0.6728537
453,0.3022536,0.69774634
454,0.2654237,0.7345763
455,0.25879163,0.7412084
456,0.2520894,0.7479106
457,0.28281206,0.717188
458,0.20765851,0.7923415
459,0.2186113,0.7813887
460,0.22941034,0.77058965
461,0.24002528,0.75997466
