timestep,ALIF0,ALIF1,ALIF2,ALIF3,ALIF4
1044,1.7749958,0.7082262,1.0975937,2.3662853,0.7064454
1045,1.7732217,0.70751834,1.0964966,2.3639202,0.7057393
1046,1.7714493,0.7068112,1.0954006,2.3615575,0.7050339
1047,1.7696787,0.7061047,1.0943058,2.3591971,0.7043292
1048,1.7679099,0.7053989,1.093212,2.3568392,0.7036252
1049,1.7661428,0.70469385,1.0921193,2.3544836,0.7029219
1050,1.7643776,0.7039895,1.0910277,2.3521302,0.70221937
1051,1.7626141,0.7032859,1.0899372,2.3497791,0.70151746
1052,1.7608523,0.70258296,1.0888478,2.4504926,0.7008163
1053,1.7590923,0.7018807,1.0877595,2.4480433,0.7001158
1054,1.7573341,0.70117915,1.0866723,2.4455965,0.69941604
1055,1.7555777,0.7004783,1.0855862,2.443152,0.69871694
1056,1.7538229,0.6997782,1.0845011,2.44071,0.69801855
1057,1.75207,0.69907874,1.0834172,2.4382706,0.6973209
1058,1.7503188,0.69838,1.0823343,2.4358335,0.6966239
1059,1.7485693,0.69768196,1.0812525,2.5347023,0.6959276
1060,1.7468215,0.69698465,1.0801717,2.5321689,0.69523203
1061,1.7450756,0.696288,1.079092,2.529638,0.69453716
1062,1.7433313,0.69559205,1.0780134,2.5271096,0.69384295
1063,1.7415888,0.6948968,1.0769359,2.5245838,0.69314945
1064,1.7398481,0.69420224,1.0758594,2.5220604,0.69245666
1065,1.7381091,0.6935084,1.074784,2.5195396,0.69176453
1066,1.7363719,0.69281524,1.0737097,2.5170212,0.6910731
1067,1.7346363,0.69212276,1.0726365,2.5145054,0.69038236
1068,1.7329025,0.691431,1.0715643,2.611595,0.6896923
1069,1.7311704,0.69073987,1.0704932,2.6089847,0.689003
1070,1.7294401,0.69004947,1.0694232,2.606377,0.6883143
1071,1.7277116,0.6893598,1.0683542,2.6037717,0.68762636
1072,1.7259847,0.68867075,1.0672864,2.601169,0.68693906
1073,1.7242595,0.68798244,1.0662196,2.5985692,0.6862525
1074,1.7225361,0.6872948,1.0651538,2.6936586,0.68556654
1075,1.7208143,0.68660784,1.0640892,2.6909664,0.6848813
1076,1.7190944,0.68592155,1.0630256,2.6882768,0.68419677
1077,1.7173761,0.685236,1.0619631,2.6855898,0.6835129
1078,1.7156596,0.68455106,1.0609016,2.6829054,0.68282974
1079,1.7139448,0.68386686,1.0598413,2.680224,0.68214726
1080,1.7122316,0.6831833,1.058782,2.677545,0.68146545
1081,1.7105203,0.6825005,1.0577238,2.6748688,0.68078434
1082,1.7088106,0.6818183,1.0566666,2.6721952,0.6801039
1083,1.7071025,0.68113685,1.0556104,2.7654493,0.6794241
1084,1.7053963,0.68045604,1.0545553,2.7626853,0.67874503
1085,1.7036917,0.6797759,1.0535012,2.759924,0.6780666
1086,1.7019888,0.67909646,1.0524483,2.7571654,0.6773889
1087,1.7002877,0.6784177,1.0513964,2.7544096,0.67671186
